NUM ACTIONNNEUR;N° DE SERIE ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;SENS UNIQUE;CONTACT STATUS;CDE MANU;PRES. ALIM;EFFET SIMPLE/DOUBLE;FOURNISSEUR ACTIONNEUR;TYPE CONTACTS
294;;;;;;;8 BARS MAX;;10;NC
295;;796 002;2;;;;8-3 BARS MAX;DOUBLE;10;NC
296;;0;;;;1;8 BARS MAX;;10;NC
297;;F79E-006M;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;Micro switch
298;;F79E-006M;;;;0;8 BARS MAX;;10;NC
299;;F79E-006M;;;;0;8 BARS MAX;;10;NC
300;;F79E-006M;;;;0;8 BARS MAX;;10;NC
301;;F79E-006M;;;;0;8 BARS MAX;;10;NC
302;;F79E-006M;;;;1;8 BARS MAX;;10;NC
303;;Régulactair 31C;;FMA;;;3-12 BARS MAX;DOUBLE;2;NC
304;9972324707/900;ACTAIR R1121;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;NC
305;5430801006;RC210-DA;;;;0;10 BARS MAX;DOUBLE;21;NC
306;;4001 A;;;;0;0 BARS MAX;DOUBLE;20;NC
307;;VERIN;;;FERM+OUVER;0;6 BARS MAX;DOUBLE;24;TELEMECA XCKM
308;76140045/0120;ACTAIR 6 R1121 1;6;;FERM+OUVER;1;10 BARS MAX;DOUBLE;2;AMTROBOX
309;;796 002;2;;;0;8 BARS MAX;DOUBLE;10;NC
310;;;;;;;;;0;NC
311;;;;;;;;;0;NC
312;;Régulactair 61B;61 B;;FERM+OUVER;;3-5 BARS MAX;DOUBLE;2;NC
313;88338005003;RC250-DA;F10/12-19;;;0;0 BARS MAX;DOUBLE;38;NC
314;;;;;;;;;0;NC
315;64-2111-01-1;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
316;64-2111-01-02;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
317;64-6656-01-1;SIGMA;;FMA;;;2-1 BARS MAX;SIMPLE;18;NC
318;558807-1;VARIMAX ATA;3;FMA;FERM+OUVER;1;2-5 BARS MAX;SIMPLE;18;496257
319;62-153001-1;SIGMA F;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
320;62-153001-2;SIGMA F;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
321;62-153001-3;SIGMA F;;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
322;;MSDIII480-70RA;;;;1;7 BARS MAX;DOUBLE;4;NC
323;A9600741;SC/V;;FMA;;1;7 BARS MAX;DOUBLE;4;NC
324;F-15-221168-003-01;VARIPAK;;FMA;;1;2-1 BARS MAX;SIMPLE;18;NC
325;16-0147-01-1;VARIPAK;;FMA;;;2-1 BARS MAX;SIMPLE;18;NC
326;64-9366-01-1;VARIPAK;;FMA;;;2-1 BARS MAX;SIMPLE;18;NC
327;F-23-000155;VARIPAK;;FMA;;1;2 BARS MAX;SIMPLE;18;NC
328;CW 20316/01;CV 600 - 10R;;FMA;;1;5-5 BARS MAX;SIMPLE;5;NC
329;594313;PemiAir 025;25;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;SPDT MICROSWITCH
330;153775;PemiAir 025;25;OMA;FERM+OUVER;1;8-3 BARS MAX;SIMPLE;10;SPDT MICROSWITCH
331;521533;PemiAir 025;25;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;SPDT MICROSWITCH
332;459122;PemiAir 025;25;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;10;NC
333;9523070011;ES65/A/N5;;OMA;;0;10 BARS MAX;SIMPLE;9;NC
334;64-9532-01-1;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
335;63 541502-1;Sigma F48-21114;220 mm;OMA;;;1-4 BARS MAX;SIMPLE;18;NC
336;;BC 6/20;6;;;1;8-3 BARS MAX;DOUBLE;25;NC
337;K01A12381884;B1CU6/25;6/25;;;1;8-3 BARS MAX;DOUBLE;25;NC
338;68857;R1 110;;OMA;;0;;SIMPLE;1;NC
339;94283;R1 110;;OMA;;0;;SIMPLE;1;NC
340;7802089;SP 15;15;;;1;8 BARS MAX;;21;NC
341;7802093;SP 15;15;;;1;8 BARS MAX;;21;NC
342;7802092;SP 15;15;;;1;8 BARS MAX;;21;NC
343;A23947SE-01;SC/V;;FMA;;0;7 BARS MAX;DOUBLE;4;NC
344;68928;M 160;;OMA;;0;;SIMPLE;1;NC
345;68927;M 160;;OMA;;0;;SIMPLE;1;NC
346;20447;;;OMA;;1;1-4 BARS MAX;SIMPLE;22;NC
347;;;;;;;;;0;NC
348;;;;;;;;;21;NC
349;PAS DE PLAQUE;SP 28;28;FMA;;1;8 BARS MAX;SIMPLE;21;NC
350;71001255;SP 28;28;FMA;;1;8 BARS MAX;SIMPLE;21;NC
351;71500600;SP 75;75;FMA;;1;8 BARS MAX;SIMPLE;21;NC
352;9525740017;PE750/A/N12;;FMA;;0;10 BARS MAX;SIMPLE;0;NC
353;05/12294;SR60-6/5;60;FMA;FERM+OUVER;0;10 BARS MAX;SIMPLE;21;LIMITBOX P6
354;82436;PremiAir 009;9;;FERM+OUVER;0;;DOUBLE;10;IFM IS-5026
355;457256;PremiAir 045;45;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;NC
356;271281;790-024S;24;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;IFM IS-5026
357;76286;F89E-020 SR08;20;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;IFM IS-5026
358;;B1JVAU10/20;;OMA;FERM+OUVER;;0 BARS MAX;SIMPLE;0;NC
359;;B1JVAU10/20;;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;0;NC
360;;B1JVAU10/20;;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;0;NC
361;;B1JVAU10/20;;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;0;NC
362;;B1JVAU10/20;;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;0;NC
363;;B1JVAU10/20;;OMA;FERM+OUVER;0;0 BARS MAX;SIMPLE;0;NC
364;K01A12381773;B1CU6/25;6/25;;FERM+OUVER;1;8-3 BARS MAX;DOUBLE;25;SOLAR SR33B5HDN
365;268046;976-090S;90;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;IFM IS-5026
366;271284;976-090S;90;OMA;FERM+OUVER;1;5-5 BARS MAX;SIMPLE;10;IFM IS-5026
367;;BJA 10/40;10/40;OMA;;;8-3 BARS MAX;SIMPLE;25;NC
368;9973719748/200;Dynactair;25;OMA;FERM+OUVER;1;8 BARS MAX;SIMPLE;2;AMTROBOX
369;9973719748/200;Dynactair;25;OMA;FERM+OUVER;1;8 BARS MAX;SIMPLE;2;AMTROBOX (IS5026)
370;9973719748/200;Dynactair;25;OMA;FERM+OUVER;1;8 BARS MAX;SIMPLE;2;AMTROBOX (IS5026)
371;;;;;;;;;0;NC
372;;;;;;;;;0;NC
373;;;;;;;;;0;NC
374;;;;;;;;;0;NC
375;;;;;;;;;0;NC
376;;;;;;;;;0;NC
377;;;;;;;;;0;NC
378;76048avr.-00452/0120;ACTAIR R1120 1;3;;;0;10 BARS MAX;DOUBLE;26;NC
379;76109407/0320;ACTAIR  R1122 1;12;;;0;10 BARS MAX;DOUBLE;2;NC
380;76048452/0120;ACTAIR R1120 1;3;;;0;10 BARS MAX;DOUBLE;26;NC
381;76048483/320;ACTAIR 12;12;;;1;10 BARS MAX;DOUBLE;2;NC
382;62-5370-02-2;Camflex II;152 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
383;T5540;MAXFLO MTRD;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
384;760177,258333333;ACTAIR 6;6;;;1;10 BARS MAX;DOUBLE;2;NC
385;D01A12070531;B1JAU8/35;35;OMA;;1;8 BARS MAX;SIMPLE;25;NC
386;D01A12070529;B1JAU8/35;35;OMA;;1;8 BARS MAX;SIMPLE;25;NC
387;63-5415-06-1;CAMFLEX II ;152 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
388;76109 407/0220;ACTAIR 25 R1123 1;;FMA;;;0 BARS MAX;DOUBLE;2;NC
389;234997;790-024;24;;;1;10 BARS MAX;DOUBLE;10;NC
390;D01A12070530;B1JAU8/35;35;OMA;;1;8 BARS MAX;SIMPLE;25;NC
391;761091407/0120;ACTAIR 25 R1123 1;;FMA;;1;2-5 BARS MAX;DOUBLE;2;NC
392;;BC 6/25;6;;;1;8-3 BARS MAX;DOUBLE;25;NC
393;;BC 12/25;12/25;;;1;10 BARS MAX;DOUBLE;25;NC
394;76045403/0320;ACTAIR;25;;;1;10 BARS MAX;DOUBLE;2;NC
395;4011;E 400;;;;0;;SIMPLE;23;NC
396;652707;PremiAir 004;4;;;0;0 BARS MAX;DOUBLE;10;NC
397;416641;PremiAir;4;;;0;0 BARS MAX;DOUBLE;10;NC
398;;BC 12/25;12;;FERM+OUVER;0;10 BARS MAX;DOUBLE;25;NC
399;76048483/0120;ACTAIR R11211;6;;;0;10 BARS MAX;DOUBLE;2;NC
400;;Série 1121;;;FERM+OUVER;1;6 BARS MAX;DOUBLE;15;XS618B1MAL2
401;34203;791282-2230;;FMA;;1;0 BARS MAX;DOUBLE;19;NC
402;;BCM 16/55;16;;;1;0 BARS MAX;DOUBLE;25;NC
403;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
404;;ACTAIR ;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
405;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
406;;ACTAIR ;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
407;R1122;ACTAIR;12;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
408;;ACTAIR;12;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
409;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
410;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
411;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
412;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
413;71000954;DP;1;;;1;8 BARS MAX;DOUBLE;21;NC
414;7100928;DP;1;;;1;8 BARS MAX;DOUBLE;21;NC
415;9972140750/0700;ACTAIR 25;25;;;1;8 BARS MAX;DOUBLE;2;NC
416;D01A11020562;B1CU13/55;13;;;1;8-3 BARS MAX;DOUBLE;25;NC
417;K01A12381660;B1CU6/25;6;OMA;;1;8-3 BARS MAX;SIMPLE;25;NC
418;F-12-215682-004-01;Camflex II;152 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
419;D01A15111947;B1CU;13/25;;FERM+OUVER;1;8-3 BARS MAX;DOUBLE;25;EN33A050M
420;;ACTAIR;12;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
421;;ACTAIR;12;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
422;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
423;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
424;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
425;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
426;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
427;;ACTAIR;6;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;IS 5026
428;76048483/0220;ACTAIR 100 R1125.1;100;;;1;10 BARS MAX;DOUBLE;2;NC
429;359213;BCM 12/25;12;;;;10 BARS MAX;DOUBLE;25;NC
430;RH01121 111011;ACTAIR 6;6;;;1;10 BARS MAX;DOUBLE;2;NC
431;9972324707/400;ACTAIR 100;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;AMTROBOX
432;9972324707/400;ACTAIR 100;100;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;AMTROBOX
433;;Actair ;50;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
434;;Actair;50;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
435;;BC 16/40;16;FMA;FERM+OUVER;1;10 BARS MAX;DOUBLE;25;NC
436;;régulactair;;;;1;0 BARS MAX;DOUBLE;2;NC
437;;BC1U 13/25E;13;;;1;3 BARS MAX;DOUBLE;25;NC
438;D01A12170492;B1CU13/35;13/35;;;1;8 BARS MAX;DOUBLE;25;NC
439;D60901-01;840 H;250;FMA;FERM+OUVER;1;5 BARS MAX;SIMPLE;4;Honeywell
440;641160;F79D-003M;3;;;0;10 BARS MAX;DOUBLE;10;NC
441;F-12-215682-001-05;CAMFLEX II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
442;729672;F79D-003M;3;;;;;;0;NC
443;F-12-215682-001-06;CAMFLEX II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
444;;;;;;;;;0;NC
445;F-12-215682-001-03;CAMFLEX II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
446;;;;;;;;;0;NC
447;F-12-215682-001-04;CAMFLEX II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
448;;;;;;;;;0;NC
449;F-12-215682-001-01;CAMFLEX II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
450;F-12-215682-001-02;CAMFLEX II;114 mm;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
451;F-13-218071-001-01;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
452;F-13-218071-001-02;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
453;F-13-218071-001-03;CAMFLEX II;;FMA;;1;1-4 BARS MAX;SIMPLE;18;NC
454;641167;F79D-003M;3;;;0;10 BARS MAX;DOUBLE;10;NC
455;F-12-217061-001-1;VARIPAK;;FMA;;;2-1 BARS MAX;SIMPLE;18;NC
456;S0353432003VEN;B1CM9/35Z;9;;FERM+OUVER;;;DOUBLE;25;Boitier NI 7201/XS
457;;SPLD;;;;1;5 BARS MAX;DOUBLE;0;IFM IS-5026
458;;B1CM13/55Z;13;;FERM+OUVER;;8 BARS MAX;DOUBLE;25;Boitier NI 7201/XS
459;;SPLD;;;;1;5 BARS MAX;DOUBLE;0;IFM IS-5026
460;50353432002VEN;B1CM13/55Z;13;;FERM+OUVER;;;DOUBLE;25;Boitier NI 7201/XS
461;;SPLD;;;;1;5 BARS MAX;DOUBLE;0;IFM IS-5026
462;50353432001VEN;BC1CM17/55Z;17;;FERM+OUVER;;8-5 BARS MAX;DOUBLE;25;Boitier NI 7201/XS
463;;SPLD;;;;1;5 BARS MAX;DOUBLE;0;IFM IS-5026
464;;B1CM13/55Z;13;;FERM+OUVER;;8 BARS MAX;DOUBLE;25;Boitier NI 7201/XS
465;;0;;;FERM+OUVER;1;0 BARS MAX;DOUBLE;6;IFM IS-5026
466;;B1CM13/55Z;13;;FERM+OUVER;;8 BARS MAX;DOUBLE;25;Boitier NI 7201/XS
467;;;;;FERM+OUVER;1;;DOUBLE;6;IFM IS-5026
468;K01A07382239;B1CU 6/25;6/25;;;1;8-3 BARS MAX;DOUBLE;25;NC
469;K01A07382280;B1CU 6/25;6/26;;;1;8-3 BARS MAX;DOUBLE;25;NC
470;;Minitork II;;FMA;;1;;SIMPLE;18;NC
471;A01A19041807;B1JAU10/40;10/40;OMA;FERM+OUVER;1;8-5 BARS MAX;SIMPLE;25;I/56
472;F-12-215682-002-1;CAMFLEX II;178 mm;OMA;;;2-1 BARS MAX;SIMPLE;18;NC
473;;;;;;;;;0;NC
474;F-12-215682-003-1;CAMFLEX II;178 mm;OMA;;;2-1 BARS MAX;SIMPLE;18;NC
475;;;;;;;;;0;NC
476;;BC 16/55;16;;;1;10 BARS MAX;DOUBLE;25;NC
477;T 5539;MAXFLO;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
478;76011971/0220;ACTAIR 25;25;;;1;10 BARS MAX;DOUBLE;2;NC
479;K01A12381885;B1CU6/25;6/25;;;1;8-3 BARS MAX;DOUBLE;25;NC
480;K01A12381883;B1CU6/25;6/25;;;1;8-3 BARS MAX;DOUBLE;25;NC
481;;;;;;;;;0;NC
482;T5549;MAXFLO MTPD;SM3;OMA;;;0 BARS MAX;SIMPLE;22;NC
483;T 5551;MAXFLO;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
484;T 5550;MAXFLO;SM3;OMA;;;3 BARS MAX;SIMPLE;22;NC
485;D01A095 1026;B1CU 11/40;40;FMA;;1;8 BARS MAX;DOUBLE;25;NC
486;C0022575;B1JARU 8/25;8/25;OMA;FERM+OUVER;1;8-5 BARS MAX;SIMPLE;25;I/56
487;;BC 12/25;12;;;1;10 BARS MAX;DOUBLE;25;NC
488;06-410101-1;Minitork II;445;FMA;;;2-4 BARS MAX;SIMPLE;18;NC
489;62-5370-02-1;Camflex II;152 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
490;82422;PremiAir 009;9;;FERM+OUVER;1;;DOUBLE;10;IS 5026
491;92571/001/2;10/35;10;;;1;10 BARS MAX;DOUBLE;25;NC
492;;B1JVAU8/25;;OMA;FERM+OUVER;;0 BARS MAX;SIMPLE;0;NC
493;350732;F79E-024M;24;OMA;;1;5-5 BARS MAX;SIMPLE;10;NC
494;;BC 6/15;6;;;1;8-3 BARS MAX;DOUBLE;25;NC
495;;BCM 12/25;;;;0;0 BARS MAX;DOUBLE;25;NC
496;350714;F79E-024M;24;FMA;;1;5-5 BARS MAX;SIMPLE;10;NC
497;D01A12210274;B1CU13/55;13/55;;;1;8-3 BARS MAX;DOUBLE;25;NC
498;;Régulactair 61c;61 C;;;0;3-6 BARS MAX;DOUBLE;2;NC
499;;STI SC/V 200-65;200;;;1;0 BARS MAX;DOUBLE;4;NC
500;380629;Régulactair 31C;31 C;;;1;3 BARS MAX;DOUBLE;2;NC
501;16493313;SNH 60/12;60/12;FMA;;1;8 BARS MAX;SIMPLE;21;NC
502;9511/164933-017;SNH 60/12;;FMA;;1;8 BARS MAX;SIMPLE;21;NC
503;;0;15;FMA;FERMETURE;0;0 BARS MAX;SIMPLE;0;NC
504;;;;;;;;;0;NC
505;;;15;FMA;;0;8 BARS MAX;SIMPLE;21;NC
506;;;;;;;;;0;NC
507;;;;;;;;;0;NC
508;;;;;;;;;0;NC
509;;F89E-032 DA;32;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;TVF-N2WGNMM00000N031
510;;F79E-036M;36;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM V3 NAMUR
511;;FIG VPZZ600T1;150;;FERM+OUVER;1;5 BARS MAX;DOUBLE;6;IFM IS-5026
512;;B1CU17/55;;;FERM+OUVER;0;0 BARS MAX;DOUBLE;0;NC
513;D01A18410953;B1CU 11/40;11/40;FMA;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;NC
514;R744 88721;Régulactair 101C;;;;;3-12 BARS MAX;DOUBLE;2;NC
515;J01A21510826;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
516;J01A22010342;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
517;J01A21510817;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
518;J01A22010334;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
519;J01A21510818;B1CU13/55;13/55;;;;0 BARS MAX;;25;NC
520;02-4848-01-1;CAMFLEX II 35-35202;"114 mm (4""1/2)";FMA;;;1-8 BARS MAX;SIMPLE;0;NC
521;;CAMFLEX II 35-35202;"114 mm (4""1/2)";FMA;;;1-8 BARS MAX;SIMPLE;0;NC
522;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
523;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
524;S/NO 3416638;PremiAIr 004;4;;;0;8 BARS MAX;DOUBLE;10;NC
525;S/NO 3416638;PremiAIr 004;4;;;0;8 BARS MAX;DOUBLE;10;NC
526;418319;796 002;2;;;1;8 BARS MAX;DOUBLE;10;NC
527;D01A18380487;B1CU 6/15;6/15;FMA;FERM+OUVER;0;8-5 BARS MAX;DOUBLE;25;NC
528;;;;;;;;;0;NC
529;;796 002;;;;0;7 BARS MAX;DOUBLE;10;NC
530;;796 002;;;;0;7 BARS MAX;DOUBLE;10;NC
531;;796 002;;;;;;;10;NC
532;;760 002;;;;;7 BARS MAX;DOUBLE;10;NC
533;;760 002;;;;;7 BARS MAX;DOUBLE;10;NC
534;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
535;S/NO 3416638;PremiAIr 004;4;;;1;8-5 BARS MAX;DOUBLE;10;NC
536;S/NO 3416638;PremiAIr 004;4;;;;8 BARS MAX;DOUBLE;10;NC
537;S/NO 3416638;PremiAir 004;4;;;0;8 BARS MAX;DOUBLE;10;NC
538;305896;F79E-006M;6;;;1;8 BARS MAX;DOUBLE;10;NC
539;97647;F89E-052-NO;52;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
540;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
541;;796-024;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
542;67420;F79E-065;65;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
543;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
544;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
545;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
546;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
547;49284;F79E-036;36;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
548;;796-024;24;;OUVERTURE;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
549;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
550;;;;;;;;;0;NC
551;49291;F79E-036;36;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
552;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
553;222301;F89E-020;20;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
554;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
555;;F79E-024M;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
556;129242;F89E-020;20;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;Tyco IFM IS- 5026
557;347940;79E 36M;36;;;1;8 BARS MAX;DOUBLE;10;IFM
558;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
559;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
560;;796-036;;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;NC
561;;796-036;36;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
562;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
563;;796-036;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
564;354835;F79E-036M;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
565;781038;79E-06501XXOPM00;65;;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM IS-5026
566;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
567;49281;F79E-036;36;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;10;IFM
568;;796-024;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
569;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
570;;F79E;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;HK-14
571;;796-024;24;;FERM+OUVER;0;8 BARS MAX;DOUBLE;10;IFM IS-5026
572;;796-024;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
573;359135;F79E-024M;24;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;IFM IS-5026
574;747577;F79E-036M;36;;FERM+OUVER;0;10 BARS MAX;DOUBLE;10;Tyco IFM IS- 5026
575;T4005753599,01;B1CU 6/15;6/15;FMA;;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
576;T40057536011;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
577;T40057536021;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
578;T40057536031;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
579;T4005753604,01;B1CU 6/15;6/15;FMA;FERM+OUVER;0;6 BARS MAX;DOUBLE;25;QN2NK05HDM
580;;;>125;;;;5-7 BARS MAX;;24;NC
581;;;>125;;;;5-7 BARS MAX;;24;NC
582;;;;;;;;;0;NC
583;;;;;;;;;0;NC
584;;;>125;;;;5-7 BARS MAX;;24;NC
585;;;;;;;;;0;NC
586;;;>125;;;;5-7 BARS MAX;;24;NC
587;;;;;;;;;0;NC
588;2032445;F89E-006 DA;;;;;8-3 BARS MAX;;10;NC
589;;;;;;;;;0;NC
590;2024607;F89E-014 DA;;;;;8-3 BARS MAX;;10;NC
591;2024607;F89E-014 DA;;;;;8-3 BARS MAX;;10;NC
592;2020103;F89D-141 DA;;;;;;;10;NC
593;2032443;F89E-006 DA;;;;;8-3 BARS MAX;;10;NC
594;2025829;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
595;2025832;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
596;2024102;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
597;;ND9100/I56;;;;;8-5 BARS MAX;;25;NC
598;;ND9100/I56;;;;;8-5 BARS MAX;;25;NC
599;;;;;;;;;0;NC
600;;;>125;;;;5-7 BARS MAX;;24;NC
601;;;;;;;;;0;NC
602;2025830;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
603;2025827;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
604;2025837;F89D-004 DA;;;;;8-3 BARS MAX;;10;NC
605;;;>125;;;;5-7 BARS MAX;;24;NC
606;;;>125;;;;5-7 BARS MAX;;24;NC
607;;;>125;;;;5-7 BARS MAX;;24;NC
608;;;>125;;;;5-7 BARS MAX;;24;NC
609;;;>125;;;;5-7 BARS MAX;;24;NC
610;;;>125;;;;5-7 BARS MAX;;24;NC
611;;;>125;;;;5-7 BARS MAX;;24;NC
612;179032;F89D-085 DA;;;;;8-3 BARS MAX;;10;NC
613;55990;F89D-085 DA;;;;;8-3 BARS MAX;;10;NC
614;;;;;;;;;0;NC
615;;;;;;;;;0;NC
616;;;;;;;;;0;NC
617;;;;;;;;;0;NC
618;;;;;;;;;0;NC
619;;;;;;;;;0;NC
620;;;;;;;;;0;NC
621;;;;;;;;;0;NC
622;;;;;;;;;0;NC
623;;;;;;;;;0;NC
624;;;;;;;;;0;NC
625;;;;;;;;;0;NC
626;;;;;;;;;0;NC
627;;;;;;;;;0;NC
628;;;;;;;;;0;NC
