NUM ACTIONNNEUR;N° DE SERIE ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;SENS UNIQUE;CONTACT STATUS;CDE MANU;PRES. ALIM;EFFET SIMPLE/DOUBLE;FOURNISSEUR ACTIONNEUR;TYPE CONTACTS
76;;CAMFLEX II;114 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
77;12/21530;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
78;12/21530;DR 10-0;10;;;1;10 BARS MAX;DOUBLE;21;NC
79;;DP3;3;;;0;5 BARS MAX;DOUBLE;21;NC
80;;DP3;3;;;0;5 BARS MAX;DOUBLE;21;NC
81;;DP3;3;;;0;5 BARS MAX;DOUBLE;21;NC
82;12/21530;DR 10-0;10;;;1;10 BARS MAX;DOUBLE;21;NC
83;12/21530;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
84;10/19385;DR 10-0;;;;0;10 BARS MAX;DOUBLE;21;NC
85;10/19385;DR 10-0;;;;0;10 BARS MAX;DOUBLE;21;NC
86;12/21382;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
87;12/21382;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
88;11/21067;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
89;10/19385;DR 10-0;;;;0;10 BARS MAX;DOUBLE;21;NC
90;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
91;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
92;10/19385;DR 10-0;;;;0;10 BARS MAX;DOUBLE;21;NC
93;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
94;11/20410;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
95;09/18537;DR 10-0;;;;;0 BARS MAX;DOUBLE;21;NC
96;09/18537;DR 10-0;;;;;0 BARS MAX;DOUBLE;21;NC
97;09/18537;DR 10-0;;;;;0 BARS MAX;DOUBLE;21;NC
98;09/18537;DR 10-0;;;;;0 BARS MAX;DOUBLE;21;NC
99;4109303;CAMFLEX I;165 MM;OMA;;;3-8 BARS MAX;SIMPLE;18;NC
100;;;;;;;;;0;NC
101;64 - 2408 - 01 - 1;Sigma F;;FMA;;;0 BARS MAX;SIMPLE;18;NC
102;F-12-217037-003-01;CAMFLEX II;178 mm;OMA;;1;2-1 BARS MAX;SIMPLE;18;NC
103;F-12-217037-003-02;CAMFLEX II;178 mm;OMA;;1;2-1 BARS MAX;SIMPLE;18;NC
104;RHO1121 118011;ACTAIR;6;;FERM+OUVER;1;0 BARS MAX;DOUBLE;2;NC
105;9972324707/900;ACTAIR R1121;6;FMA;FERM+OUVER;1;10 BARS MAX;DOUBLE;2;I 56
106;9972324707/900;ACTAIR R1121;6;FMA;FERM+OUVER;1;10 BARS MAX;DOUBLE;2;I 56
107;9972324707/900;ACTAIR R1121;6;FMA;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;I 56
108;9972324707/900;ACTAIR R1121;6;FMA;FERM+OUVER;1;10 BARS MAX;DOUBLE;2;I 56
109;RHO1121 118011;ACTAIR;6;;FERM+OUVER;1;0 BARS MAX;DOUBLE;2;IFM IEC 2002-ARKG/UP
110;261307;PremiAir 004;4;;FERM+OUVER;0;0 BARS MAX;DOUBLE;10;IFM IS-5026
111;197820;PremiAir 004;4;;FERM+OUVER;0;0 BARS MAX;;10;IFM IS-5026
112;76140045/0120;ACTAIR 6 R1121 1;6;;FERM+OUVER;1;10 BARS MAX;DOUBLE;2;AMTROBOX
113;62 873404-1;Sigma F48-21114;220 mm;FMA;;;1-4 BARS MAX;SIMPLE;18;NC
114;D01A17520493;B1CU/20;20;;FERM+OUVER;1;8-3 BARS MAX;DOUBLE;25;IFM IFC 2002-ARKGIUP
115;9973749598/100;ACTAIR 3;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
116;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
117;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
118;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
119;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
120;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
121;;ACTAIR;3;;FERM+OUVER;1;0 BARS MAX;DOUBLE;2;Amtrobox
122;;ACTAIR;3;;FERM+OUVER;1;0 BARS MAX;DOUBLE;2;Amtrobox
123;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
124;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
125;;ACTAIR;3;;FERM+OUVER;1;8 BARS MAX;DOUBLE;2;Amtrobox
126;;SP3;;FMA;;1;8 BARS MAX;SIMPLE;21;NC
127;12/21459;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
128;12/21459;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
129;12/21459;DR 10-0;10;;;0;10 BARS MAX;DOUBLE;21;NC
