NUM ACTIONNNEUR;FOURNISSEUR ACTIONNEUR;TYPE ACTIONNEUR;TAILLE ACTIONNEUR;N° DE SERIE ACTIONNEUR;SENS OMA;SENS FMA;TYPE CONTACTS;CONTACT OUVERTURE;CONTACT FERMETURE;CDE MANU. OUI;CDE MANU. NON;PRES. ALIM;SIMPLE EFFET;DOUBLE EFFET
208;ROTORK;RC210-DA;11;19-24560;0;0;0;0;0;0;X;10 bar max;0;X
209;ROTORK;RC210-DA;11;18-24234;0;0;0;0;0;0;X;10 bar max;0;X
210;AMRI KSB;ACTAIR 12;0;0;0;0;Amtrobox;X;X;0;X;0;0;X
211;EMERSON;F89E-020;020;O129166;0;0;0;0;0;0;X;10 bar max;0;X
212;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
213;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
214;SAPAG;DR 10-0;10;12/21382;0;0;0;0;0;0;X;10 bar max;0;X
215;SAPAG;DR 10-0;10;12/21382;0;0;0;0;0;0;X;10 bar max;0;X
216;SAPAG;DR 10-0;10;12/21382;0;0;0;0;0;0;X;10 bar max;0;X
217;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
218;;4001 A;;;;;;;;;X;7 bar max;;X
219;GEC ALSTHOM;;;;;;;;;;X;;;X
220;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
221;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
222;SAPAG;DR 10-0;10;11/20410;0;0;0;0;0;0;X;10 bar max;0;X
223;AMRI KSB;Régulactair;61 B;0;0;X;0;0;0;X;0;3 - 9 bar;0;X
224;AMRI KSB;ACTAIR 200;200;0;0;0;I 56;X;X;X;;8 bar max;0;X
225;AMRI KSB;ACTAIR;200;9972140750/0400;0;0;0;0;0;X;;8 bar max;0;X
226;AMRI KSB;Actair 200 R1126;200;9972140750/0400;0;0;IFM IS 5884;X;X;X;;8 bar max;0;X
227;AMRI KSB;ACTAIR 200;200;9972324707/300;0;0;I 56;X;X;X;;8 bar max;0;X
228;AMRI KSB;ACTAIR 200;200;9972140750/0400;0;0;I 56;X;X;X;;8 bar max;0;X
229;AMRI KSB;ACTAIR 200;200;9972140750;0;0;I 56;X;X;X;;8 bar max;0;X
230;AMRI KSB;Régulactair;61 B;0;0;X;0;0;0;X;0;3 - 9 bar;0;X
231;AMRI KSB;ACTAIR ;200;9972140750/0400;0;0;I 56;X;X;X;;8 bar max;0;X
232;AMRI KSB;Régulactair;61 C;R724 0210275;0;X;0;0;0;X;0;3 - 9 bar;0;X
233;AMRI KSB;ACTAIR ;100;9973390599 700;0;0;I 56;X;X;X;;8 bar max;0;X
234;AMRI KSB;Régulactair;61 C;R724 021C 281;0;X;0;0;0;X;0;3 - 9 bar;0;X
235;AMRI KSB;ACTAIR;100;9973390599 600;0;0;I 56;X;X;X;;8 bar max;0;X
236;AMRI KSB;Régulactair;61 C;0;0; ;0;0;0;X;0;3 - 9 bar;0;X
237;AMRI KSB;ACTAIR 100;100;9972590077/300;0;0;I 56;X;X;X;;8 bar max;0;X
238;AMRI KSB;Régulactair;31 B;880255;0;X;0;0;0;X;0;3 - 9 bar;0;X
239;AMRI KSB;ACTAIR;100;9973390599 400;0;0;I 56;X;X;X;;8 bar max;0;X
240;AMRI KSB;Régulactair;31 C;380181;0;0;0;0;0;X;0;3 - 9 bar;0;X
241;AMRI KSB;Actair;100;9973390599/500;0;0;I 56;X;X;X;;8 bar max;0;X
242;AMRI KSB;ACTAIR 400;400;9972143670-04-12;0;0;0;X;X;X;;8 bar max;0;X
243;AMRI KSB;Actair 400;400;9972591877-1-14;0;0;I 56;X;X;X;;8 bar max;0;X
244;AMRI KSB;ACTAIR 400;400;99722143670-04-12;0;0;I 56;X;X;X;;8 bar max;0;X
245;AMRI KSB;ACTAIR 400;400;9972143670-04-12;0;0;I 56;X;X;X;;8 bar max;0;X
246;AMRI KSB;ACTAIR 400;400;9972143670-04-12;0;0;I 56;X;X;X;;8 bar max;0;X
247;AMRI KSB;Régulactair;101 B;V371120;0;0;0;0;0;X;0;0;0;X
248;AMRI KSB;Régulactair;61 B;83721;0;0;0;X;X;X;0;3 - 9 bar;0;X
249;AMRI KSB;ACTAIR;200;9973390599/100;0;0;I 56;X;X;X;;8 bar max;0;X
250;AMRI KSB;Régulactair;61 B;R72383781;0;0;0;X;X;X;0;3 - 9 bar;0;X
251;AMRI KSB;Actair;200;9973390599/300;0;0;I 56;X;X;X;;8 bar max;0;X
252;AMRI KSB;Actair;100;9973390599/200;0;0;I 56;X;X;X;;8 bar max;0;X
253;AMRI KSB;ACTAIR 100 ;100;76011971/0120;;;;X;X;;;3 - 6 bar;;X
254;AMRI KSB;Actair;100;9973390599/800;0;0;I 56;X;X;X;;8 bar max;0;X
255;AMRI KSB;Régulactair 401 B;401B; ;0;0;I 56;X;X;0;;3 - 9 bar;0;X
256;MASONEILAN;Camflex II;178 mm;F-15-221168-001-1;0;X;I 56;X;X;0;;2,8 bar;X;0
257;ROTORK;RC220-DA;0;7124005010;0;0;0;0;0;0;X;10 B MAX;0;X
258;AMRI KSB;ACTAIR;50;76045403/0320;;;;;;X;;10 bar max;;X
259;AMRI KSB;Actair;25;0;0;0;I 56;X;X;X;;8 bar max;0;X
260;MASONEILAN;Camflex II;"152 mm (6"")";F-15-221168-002-01;X;0;I 56;X;X;0;;1,4 bar;X;0
261;FISHER;1052;40;EU03267209;X;;;;;;;4,5 bar max;X;
262;MASONEILAN;SIGMA;;63-541503-1;X;;;;;;;1,4 bar;X;
263;FISHER;1052;40;EU03267209;X;;;;;;;4,5 bar max;X;
264;AMRI KSB;ACTAIR;400;05-190620;;;;;;X;;;;X
265;CCI VALVE;840 H;250;TCV;0;X;0;0;0;X;;5 bar;X;0
266;MASONEILAN;CAMFLEX II;178 mm;62-8734-01-1;;X;;;;;;2,1 bar;X;
267;EMERSON;796-012;012;;;;SWITCH MILTAC;X;X;X;;5,5 bar;;X
268;TECOFI;VERIN;0;0;0;0;TELEMECA XCKM;X;X;0;X;6 Bars;0;X
269;TECOFI;VERIN;0;0;0;0;TELEMECA XCKM;X;X;0;X;6 Bars;0;X
270;TECOFI;VERIN;0;0;0;0;TELEMECA XCKM;X;X;0;X;6 Bars;0;X
271;SAPAG;DR 10-0;0;09/18537;0;0;0;0;0;X;;0;0;X
272;SAPAG;SR 20-04 ;;00/3340;;;;;;X;;10 bar max;;x
273;AMRI KSB;ACTAIR R1123 1;25;76135433/0120;0;0;0;0;0;X;;10 bar max;0;X
274;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;
276;;;;;;;;;;;;;;
277;;;;;;;;;;;;;;
278;EMERSON;796 002;;;;;;;;X;;5,5 bar;;X
279;SAPAG;S60/12;12;0;0;X;0;0;0;X;;8 bar max;X;0
280;SAPAG;S60/12;12;0297/246341 008;;X;;;;;X;8 bar;X;
281;SAPAG;S60/12;12;1296/233108 020;;X;;;;;X;8 bar;X;
282;SAPAG;S60/12;12;1296/236642 003;;X;;;;;X;8 bar;X;
283;SAPAG;DP3;3;6301417;0;0;0;0;0;X;;8 bar;0;X
284;SAPAG;DP3;3;0;0;0;0;0;0;X;;8 bar;0;X
285;EMERSON;PemiAir 004;004;197815;0;0;IFM IS-5026;X;X;0;X;0;0;X
286;EMERSON;F79E-006M;;;;;;;;;X;8 bar;;
287;EMERSON;F79E-006M;;;;;;;;;X;8 bar;;
288;EMERSON;F79E-006M;;;;;;;;;X;8 bar ;;
289;EMERSON;F79E-006M;;;;;;;;;X;8 bar ;;
290;EMERSON;F79E-006M;0;726038;0;0;0;0;0;X;;8 bar;0;0
291;0;F89E-004;0;0;0;0;0;0;0;0;X;0;0;X
292;EMERSON;;;;;;;;;;;8 bar;;
293;EMERSON;796003;003;24918;0;0;0;0;0;X;;7 bar max;0;X
294;EMERSON;;;;;;;;;;;8 bar ;;
295;EMERSON;796 002;002;;;;;;;;;8,3 bars max;;X
296;EMERSON;0;0;0;0;0;0;0;0;X;;8 bar;0;0
297;EMERSON;F79E-006M;006;0;0;0;Micro switch;X;X;X;;8 bar;0;X
298;EMERSON;F79E-006M;;;;;;;;;X;8 bar;;
299;EMERSON;F79E-006M;;;;;;;;;X;8 bar ;;
300;EMERSON;F79E-006M;;;;;;;;;X;8 bar ;;
301;EMERSON;F79E-006M;;;;;;;;;X;8 bar ;;
302;EMERSON;F79E-006M;0;0;0;0;0;0;0;X;;8 bar;0;0
303;AMRI KSB;Régulactair 31C;;;;X;;;;;;3 - 12 bar;;X
304;AMRI KSB;ACTAIR R1121;6;9972324707/900;0;0;0;X;X;X;;8 bar max;0;X
305;SAPAG;RC210-DA;0;5430801006;0;0;0;0;0;0;X;10 b max;0;X
306;NORBRO;4001 A;0;0;0;0;0;0;0;0;X;0;0;X
307;TECOFI;VERIN;0;0;0;0;TELEMECA XCKM;X;X;0;X;6 Bars;0;X
308;AMRI KSB;ACTAIR 6 R1121 1;6;76140045/0120;;;AMTROBOX;X;X;X;;10 bar max;;X
309;EMERSON;796 002;002;;;;;;;;X;8 bar max;;X
310;;;;;;;;;;;;;;
311;;;;;;;;;;;;;;
312;AMRI KSB;Régulactair 61B;61 B;;;;;X;X;;;3,5 B;;X
313;ROTORK;RC250-DA;F10/12-19;88338005003;0;0;0;0;0;0;X;0;0;X
314;;;;;;;;;;;;;;
315;MASONEILAN;CAMFLEX II;114 mm;64-2111-01-1;;X;;;;;;1,4 bar;X;
316;MASONEILAN;CAMFLEX II;114 mm;64-2111-01-02;;X;;;;;;1,4 bar;X;
317;MASONEILAN;SIGMA;;64-6656-01-1;;X;;;;;;2,1 bar;X;
318;MASONEILAN;VARIMAX ATA;3;558807-1;;X;496257;X;X;X;;2,5 bar max;X;
319;MASONEILAN;SIGMA F;;62-153001-1;;x;;;;;;1,4 bar;x;
320;MASONEILAN;SIGMA F;0;62-153001-2;0;X;0;0;0;0;;1,4 bar;X;0
321;MASONEILAN;SIGMA F;;62-153001-3;;X;;;;;;1,4 bar;X;
322;CCI VALVE;MSDIII480-70RA;0;0;0;0;0;0;0;X;;7 bar max;0;X
323;CCI VALVE;SC/V;;A9600741;;X;;;;X;;7 bar max;;X
324;MASONEILAN;VARIPAK;0;F-15-221168-003-01;0;X;0;0;0;X;;2,1 bar;X;0
325;MASONEILAN;VARIPAK;;16-0147-01-1;;X;;;;;;2,1 bar;X;
326;MASONEILAN;VARIPAK;;64-9366-01-1;;X;;;;;;2,1 bar;X;
327;MASONEILAN;VARIPAK;0;F-23-000155;0;X;0;0;0;X;0;2 bar;X;
328;COPES VULCAN;CV 600 - 10R;;CW 20316/01;;X;;;;X;;5,5 bar;X;
329;EMERSON;PemiAir 025; 025;594313;X;0;SPDT MICROSWITCH;X;X;X;;5,5 bar max;X;0
330;EMERSON;PemiAir 025;025;153775;X;0;SPDT MICROSWITCH;X;X;X;;8,3 bar max;X;0
331;EMERSON;PemiAir 025;025;521533;X;0;SPDT MICROSWITCH;X;X;X;;5,5 bar max;X;0
332;EMERSON;PemiAir 025;025;459122;X;0;0;X;X;0;X;0;X;0
333;ECONOSTO;ES65/A/N5;;9523070011;X;;;;;;X;10 bar max;X;
334;MASONEILAN;CAMFLEX II;114 mm;64-9532-01-1;;X;;;;;;1,4 bar;X;
335;MASONEILAN;Sigma F48-21114 ;220 mm;63 541502-1;X;0;0;0;0;0;;1,4 bar;X;0
336;VALMET METSO;BC 6/20;6;;;;;;;X;;8,3 bar max;;X
337;VALMET METSO;B1CU6/25;6/25;K01A12381884;0;0;0;0;0;X;;8,3 bar max;0;X
338;A.P.C.;R1 110;;68857;X;;;;;;X;;X;
339;A.P.C.;R1 110;;94283;X;;;;;;X;;X;
340;SAPAG;SP 15;15;7802089;0;0;0;0;0;X;;8 bar max;0;0
341;SAPAG;SP 15;15;7802093;0;0;0;0;0;X;;8 bar max;0;0
342;SAPAG;SP 15;15;07802092;0;0;0;0;0;X;;8 bar max;0;0
343;CCI VALVE;SC/V;0;A23947SE-01;0;X;0;0;0;0;X;7 BAR MAX;0;X
344;A.P.C.;M 160;;68928;X;;;;;;X;;X;
345;A.P.C.;M 160;;68927;X;;;;;;X;;X;
346;SCHLUMBERGER SEREG VANNES;;;20447;X;;;;;X;;1,4 bar;X;
347;;;;;;;;;;;;;;
348;SAPAG;;;;;;;;;;;;;
349;SAPAG;SP 28;28;PAS DE PLAQUE;0;X;0;0;0;X;;8 bar max;X;0
350;SAPAG;SP 28;28;71001255;0;X;0;0;0;X;;8 bar max;X;0
351;SAPAG;SP 75;75;71500600;0;X;0;0;0;X;;8 bar max;X;0
352;;PE750/A/N12;;9525740017;;X;;;;;X;10 bar max;X;
353;SAPAG;SR60-6/5;60;05/12294;0;X;LIMITBOX P6;X;X;0;X;10 bar max;X;0
354;EMERSON;PremiAir 009;009;082436;;;IFM IS-5026;X;X;;X;;;X
355;EMERSON;PremiAir 045;045;457256;X;0;0;X;X;X;;5,5 bar max;X;0
356;EMERSON;790-024S;024;271281;X;;IFM IS-5026;X;X;X;;5,5 bar;X;
357;EMERSON;F89E-020 SR08;020;0076286;X;;IFM IS-5026;X;X;X;;5,5 bar;X;
358;0;B1JVAU10/20;0;0;X;0;0;X;X;0;0;0;X;0
359;0;B1JVAU10/20;0;0;X;0;0;X;X;0;X;0;X;0
360;0;B1JVAU10/20;0;0;X;0;0;X;X;0;X;0;X;0
361;0;B1JVAU10/20;0;0;X;0;0;X;X;0;X;0;X;0
362;0;B1JVAU10/20;0;0;X;0;0;X;X;0;X;0;X;0
363;0;B1JVAU10/20;0;0;X;0;0;X;X;0;X;0;X;0
364;VALMET METSO;B1CU6/25;6/25;K01A12381773;0;0;SOLAR SR33B5HDN;X;X;X;;8,3 bars max;0;X
365;EMERSON; 976-090S;090;268046;X;;IFM IS-5026;X;X;X;;5,5 bar;X;
366;EMERSON; 976-090S;090;271284;X;;IFM IS-5026;X;X;X;;5,5 bar;X;
367;VALMET METSO;BJA 10/40;10/40;0;X;0;0;0;0;0;;8,3 bars max;X;0
368;AMRI KSB;Dynactair;25;9973719748/200;X;0;AMTROBOX;X;X;X;;8 bar max;X;0
369;AMRI KSB;Dynactair;25;9973719748/200;X;0;AMTROBOX (IS5026);X;X;X;;8 bar max;X;0
370;AMRI KSB;Dynactair;25;9973719748/200;X;0;AMTROBOX (IS5026);X;X;X;;8 bar max;X;0
371;;;;;;;;;;;;;;
372;;;;;;;;;;;;;;
373;;;;;;;;;;;;;;
374;;;;;;;;;;;;;;
375;;;;;;;;;;;;;;
376;;;;;;;;;;;;;;
377;;;;;;;;;;;;;;
378;MECA INOX;ACTAIR R1120 1;3;76048avr.-00452/0120;;;;;;;X;10 bar max;;X
379;AMRI KSB;ACTAIR  R1122 1;12;76109407/0320;0;0;0;0;0;0;X;10 bar max;0;X
380;MECA INOX;ACTAIR R1120 1;3;76048452/0120;;;;;;;X;10 bar max;;X
381;AMRI KSB;ACTAIR 12;12;76048483/320;;;;;;X;;10 bar max;;X
382;MASONEILAN;Camflex II;152 mm;62-5370-02-2;0;X;0;0;0;0;;1,4 bar;x;0
383;SCHLUMBERGER SEREG VANNES;MAXFLO MTRD;SM3;T5540;X;;;;;;;3 bar;X;
384;AMRI KSB;ACTAIR 6 ;6;760177,258333333;;;;;;X;;10 bar max;;X
385;VALMET METSO;B1JAU8/35;35;D01A12070531;X;0;0;0;0;X;;8 bar max;X;0
386;VALMET METSO;B1JAU8/35;35;D01A12070529;X;0;0;0;0;X;;8 bar max;X;0
387;MASONEILAN;CAMFLEX II ;152 mm;63-5415-06-1;;X;;;;;;1,4 bar;X;
388;AMRI KSB;ACTAIR 25 R1123 1;0;76109 407/0220;0;x;0;0;0;0;;0;0;x
389;EMERSON;790-024;24;234997;;;;;;X;;10 bar max;;X
390;VALMET METSO;B1JAU8/35;35;D01A12070530;X;0;0;0;0;X;;8 bar max;X;0
391;AMRI KSB;ACTAIR 25 R1123 1;0;761091407/0120;0;X;0;0;0;X;;2,5 bar;0;X
392;VALMET METSO;BC 6/25;6;0;0;0;0;0;0;X;;8,3 bar max;0;X
393;VALMET METSO;BC 12/25;12/25;;;;;;;X;;10 bar max;;X
394;AMRI KSB;ACTAIR;25;76045403/0320;;;;;;X;;10 bar max;;X
395;SOMAS;E 400;;04011;;;;;;;X;;X;
396;EMERSON;PremiAir 004;004;652707;0;0;0;0;0;0;X;0;0;X
397;EMERSON;PremiAir;004;416641;0;0;0;0;0;0;X;0;0;X
398;VALMET METSO;BC 12/25;12;;;;;X;X;;X;10 bar max;;X
399;AMRI KSB;ACTAIR R11211;6;76048483/0120;;;;;;;X;10 bar max;;X
400;IFC Valve;Série 1121;0;0;0;0;XS618B1MAL2;X;X;X;;6 bar max;0;X
401;NAF AB;791282-2230;0;34203;0;X;0;0;0;X;;0;0;X
402;VALMET METSO;BCM 16/55;16;0;0;0;0;0;0;X;;0;0;X
403;AMRI KSB;ACTAIR;3;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
404;AMRI KSB;ACTAIR ;3;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
405;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
406;AMRI KSB;ACTAIR ;3;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
407;AMRI KSB;ACTAIR;12;R1122;0;0;IS 5026;X;X;X;;8 bar max;0;X
408;AMRI KSB;ACTAIR;12;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
409;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
410;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
411;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
412;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
413;SAPAG;DP;1;71000954;0;0;0;0;0;X;;8 bar max;0;X
414;SAPAG;DP;1;7100928;0;0;0;0;0;X;;8 bar max;0;X
415;AMRI KSB;ACTAIR 25;25;9972140750/0700;0;0;0;0;0;X;;8 bar max;0;X
416;VALMET METSO;B1CU13/55;13;D01A11020562;0;0;0;0;0;X;;8,3 bars max;0;X
417;VALMET METSO;B1CU6/25;6;K01A12381660;X;0;0;0;0;X;;8,3 bar max;X;0
418;MASONEILAN;Camflex II;152 mm;F-12-215682-004-01;0;X;0;0;0;0;;1,4 bar;X;0
419;VALMET METSO;B1CU;13/25;D01A15111947;0;0;EN33A050M;X;X;X;;8,3 bars max;0;x
420;AMRI KSB;ACTAIR;12;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
421;AMRI KSB;ACTAIR;12;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
422;AMRI KSB;ACTAIR;3;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
423;AMRI KSB;ACTAIR;3;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
424;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
425;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
426;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
427;AMRI KSB;ACTAIR;6;0;0;0;IS 5026;X;X;X;;8 bar max;0;X
428;AMRI KSB;ACTAIR 100 R1125.1;100;76048483/0220;0;0;0;0;0;X;;10 bar max;0;X
429;VALMET METSO;BCM 12/25;12;359213;;;;;;;;10 bar max;;X
430;AMRI KSB;ACTAIR 6;6;RH01121 111011;0;0;0;0;0;X;;10 bar max;0;X
431;AMRI KSB;ACTAIR 100;100;9972324707/400;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
432;AMRI KSB;ACTAIR 100;100;9972324707/400;0;0;AMTROBOX;X;X;X;;8 bar max;0;X
433;AMRI KSB;Actair ;50;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
434;AMRI KSB;Actair;50;0;0;0;Amtrobox;X;X;X;;8 bar max;0;X
435;VALMET METSO;BC 16/40;16;0;0;X;0;X;X;X;;10 bar max;0;X
436;AMRI KSB;régulactair;0;0;0;0;0;0;0;x;0;0;0;x
437;VALMET METSO;BC1U 13/25E;13;;;;;;;X;;3 bar;;X
438;VALMET METSO;B1CU13/35;13/35;D01A12170492;0;0;0;0;0;X;;8 bar max;0;X
439;CCI VALVE;840 H;250;D60901-01;0;X;Honeywell;X;X;X;;5 bar max;X;0
440;EMERSON;F79D-003M;003;641160;;;;;;;X;10 bar max;;X
441;MASONEILAN;CAMFLEX II;114 mm;F-12-215682-001-05;0;X;0;0;0;X;0;1,4 bar;X;0
442;;F79D-003M;003;729672;;;;;;;;;;
443;MASONEILAN;CAMFLEX II;114 mm;F-12-215682-001-06;0;X;0;0;0;X;0;1,4 bar;X;0
444;;;;;;;;;;;;;;
445;MASONEILAN;CAMFLEX II;114 mm;F-12-215682-001-03;0;X;0;0;0;X;0;1,4 bar;X;0
446;;;;;;;;;;;;;;
447;MASONEILAN;CAMFLEX II;114 mm;F-12-215682-001-04;0;X;0;0;0;X;0;1,4 bar;X;0
448;;;;;;;;;;;;;;
449;MASONEILAN;CAMFLEX II;114 mm;F-12-215682-001-01;0;X;0;0;0;X;0;1,4 bar;X;0
450;MASONEILAN;CAMFLEX II;114 mm;F-12-215682-001-02;0;X;0;0;0;X;0;1,4 bar;X;0
451;MASONEILAN;CAMFLEX II;0;F-13-218071-001-01;0;X;0;0;0;X;0;1,4 bar Max;X;0
452;MASONEILAN;CAMFLEX II;0;F-13-218071-001-02;0;X;0;0;0;X;0;1,4 bar Max;X;0
453;MASONEILAN;CAMFLEX II;0;F-13-218071-001-03;0;X;0;0;0;X;0;1,4 bar Max;X;0
454;EMERSON;F79D-003M;003;641167;;;;;;;X;10 bar max;;X
455;MASONEILAN;VARIPAK;0;F-12-217061-001-1;0;X;0;0;0;0;;2,1 bar;X;0
456;VALMET METSO;B1CM9/35Z;9;S0353432003VEN;;;Boitier NI 7201/XS;X;X;;;;;X
457;0;SPLD;0;0;0;0;IFM IS-5026;x;x;x;0;5 bar;0;x
458;VALMET METSO;B1CM13/55Z;13;;;;Boitier NI 7201/XS;X;X;;;8 bar max;;X
459;;SPLD;;;;;IFM IS-5026;x;x;x;;5 bar;;x
460;VALMET METSO;B1CM13/55Z;13;50353432002VEN;;;Boitier NI 7201/XS;X;X;;;;;X
461;;SPLD;;;;;IFM IS-5026;x;x;x;;5 bar;;x
462;VALMET METSO;BC1CM17/55Z;17;50353432001VEN;;;Boitier NI 7201/XS;X;X;;;8,5 bar;;X
463;;SPLD;;;;;IFM IS-5026;x;x;x;;5 bar;;x
464;VALMET METSO;B1CM13/55Z;13;;;;Boitier NI 7201/XS;X;X;;;8 bar max; ;X
465;CORRI SERVAIS;0;0;0;0;0;IFM IS-5026;X;X;X;0;0;0;X
466;VALMET METSO;B1CM13/55Z;13;;;;Boitier NI 7201/XS;X;X;;;8 bar max; ;X
467;CORRI SERVAIS;;;;;;IFM IS-5026;X;X;X;;;;X
468;VALMET METSO;B1CU 6/25;6/25;K01A07382239;0;0;0;0;0;X;;8,3 bar max;0;X
469;VALMET METSO;B1CU 6/25;6/26;K01A07382280;0;0;0;0;0;X;;8,3 bar max;0;X
470;MASONEILAN;Minitork II;;;;x;;;;X;;;X;
471;VALMET METSO;B1JAU10/40;10/40;A01A19041807;X;0;I/56;X;X;X;0;8,5 b max;X;0
472;MASONEILAN;CAMFLEX II;178 mm;F-12-215682-002-1;X;;;;;;;2,1 bar;X;
473;;;;;;;;;;;;;;
474;MASONEILAN;CAMFLEX II;178 mm;F-12-215682-003-1;X;;;;;;;2,1 bar;X;
475;;;;;;;;;;;;;;
476;VALMET METSO;BC 16/55;16;0;0;0;0;0;0;X;;10 bar max;0;X
477;SCHLUMBERGER SEREG VANNES;MAXFLO;SM3;T 5539;X;;;;;;;3 bar;X;
478;AMRI KSB;ACTAIR 25;25;76011971/0220;0;0;0;0;0;X;;10 bar max;0;X
479;VALMET METSO;B1CU6/25;6/25;K01A12381885;0;0;0;0;0;X;;8,3 bar max;0;X
480;VALMET METSO;B1CU6/25;6/25;K01A12381883;0;0;0;0;0;X;;8,3 bar max;0;X
481;;;;;;;;;;;;;;
482;SCHLUMBERGER SEREG VANNES;MAXFLO MTPD;SM3;T5549;X;0;0;0;0;0;;0;X;0
483;SCHLUMBERGER SEREG VANNES;MAXFLO;SM3;T 5551;X;;;;;;;3 bar;X;
484;SCHLUMBERGER SEREG VANNES;MAXFLO;SM3;T 5550;X;;;;;;;3 bar;X;
485;VALMET METSO;B1CU 11/40;40;D01A095 1026; ;;;;;X;;8 bar; ;X
486;VALMET METSO;B1JARU 8/25;8/25;C0022575;X;0;I/56;X;X;X;0;8,5 b max;X;0
487;VALMET METSO;BC 12/25;12;;;;;;;X;;10 bar max;;X
488;MASONEILAN;Minitork II;445;06-410101-1;;X;;;;;;2,4 bar;X;
489;MASONEILAN;Camflex II;152 mm;62-5370-02-1;0;X;0;0;0;0;;1,4 bar;X;0
490;EMERSON;PremiAir 009;009;082422;;;IS 5026;X;X;X;;;;X
491;VALMET METSO;10/35;10;92571/001/2;;;;;;X;;10 bar max;;X
492;0;B1JVAU8/25;0;0;X;0;0;X;X;0;0;0;X;0
493;EMERSON;F79E-024M;024;350732;X;;;;;X;;5,5 bar;X;
494;VALMET METSO;BC 6/15;6;0;0;0;0;0;0;X;;8,3 bar max;0;X
495;VALMET METSO;BCM 12/25;0;0;0;0;0;0;0;0;X;0;0;X
496;EMERSON;F79E-024M;024;350714;;X;;;;X;;5,5 bar;X;
497;VALMET METSO;B1CU13/55;13/55;D01A12210274;0;0;0;0;0;X;;8,3 bars max;0;X
498;AMRI KSB;Régulactair 61c;61 C;0;0;0;0;0;0;0;X;3 - 6 bar;0;X
499;CCI VALVE;STI SC/V 200-65;200;0;0;0;0;0;0;X;;0;0;X
500;AMRI KSB;Régulactair 31C;31 C;0380629;;;;;;X;;3 bar;;X
501;SAPAG;SNH 60/12;60/12;164933.013;0;X;0;0;0;X;;8 bar max;X;0
502;SAPAG;SNH 60/12;0;9511/164933-017;0;X;0;0;0;X;;8 bar max;X;0
503;0;0;15;0;0;X;0;0;X;0;X;0;X;0
504;;;;;;;;;;;;;;
505;SAPAG;;15;;;X;;;;;X;8 bar max;X;
506;;;;;;;;;;;;;;
507;;;;;;;;;;;;;;
508;;;;;;;;;;;;;;
509;EMERSON;F89E-032 DA;32;;;;TVF-N2WGNMM00000N031;X;X;;X;8 bar max;;X
510;EMERSON;F79E-036M;36;;;;IFM V3 NAMUR;X;X;;X;8 bar max;;X
511;CORRI SERVAIS; FIG VPZZ600T1;150;0;0;0;IFM IS-5026;X;X;X;0;5 bar;0;X
512;0;B1CU17/55;0;0;0;0;0;X;X;0;X;0;0;X
513;VALMET METSO;B1CU 11/40;11/40;D01A18410953;0;X;0;X;X;0;X;8,5 b max;0;X
514;AMRI KSB;Régulactair 101C;;R744 88721;;;;;;;;3 - 12 bar;;X
515;VALMET METSO;B1CU13/55;13/55;J01A21510826;0;0;0;0;0;0;0;0;0;0
516;VALMET METSO;B1CU13/55;13/55;J01A22010342;0;0;0;0;0;0;0;0;0;0
517;VALMET METSO;B1CU13/55;13/55;J01A21510817;0;0;0;0;0;0;0;0;0;0
518;VALMET METSO;B1CU13/55;13/55;J01A22010334;0;0;0;0;0;0;0;0;0;0
519;VALMET METSO;B1CU13/55;13/55;J01A21510818;0;0;0;0;0;0;0;0;0;0
520;;CAMFLEX II 35-35202;"114 mm (4""1/2)";02-4848-01-1;0;X;0;0;0;0;;1,8 bar;X;0
