NUM CORPS;FOURNISSEUR CORPS;TYPE CORPS;DN;PN;N° DE SERIE CORPS;CV;NORME BRIDES;CODE;MATIERE ARBRE;MATIERE SIEGE;MATIERE  ORG. REGLANT;M;MATIERE GARNITURES;TYPE GARNITURES
64;EMERSON;OPTISEAL FIG 14-102;100;10;0;0;0;0;0;0;0;GGL 250;joint à lèvre;0
65;EMERSON;OPTISEAL FIG 14-102;100;10;16/43422998;0;0;0;0;0;0;GGL 250;joint à lèvre;0
66;VALMET METSO;NELDISC;100;ANSI 150;;0;0;L1CMA04 AACK;F316;ULTIMET;316 SS;CF8M;PTFE;250865
67;PROCOM;0;20;0;0;0;FF 3/4 G;PCSFDV_020_2_1_4_AP2S;0;PTFE;0;AISI 316;0;0
68;PROCOM;0;20;0;0;0;FF 3/4 G;PCSFDV_020_2_1_4_AP2S;0;PTFE;0;AISI 316;0;0
69;PROCOM;0;20;0;0;0;FF 3/4 G;PCSFDV_020_2_1_4_AP2S;0;PTFE;0;AISI 316;0;0
70;PROCOM;0;20;0;0;0;FF 3/4 G;PCSFDV_020_2_1_4_AP2S;0;PTFE;0;AISI 316;0;0
71;AIR TORQUE;Starline 233 SGS;40;40;0;0;PBR2 1 1/2;0;0;PTFE chargé;F 316;A 105N;PTFE chargé;0
72;MASONEILAN;29000;0;ANSI 1500LB;0;2,3;Taraudée 34 mm;0;0;0;0;316;PTFE;0
73;MASONEILAN;29000;0;ANSI 1500LB;06.484801-1;2,3;Taraudée 34 mm;0;0;0;0;316;PTFE KEVELAR;0
74;VALMET METSO;REMA040AJJST;40;40;MA0204842;;;;329SS;STELLITE;329SS;CF8M;;
75;MASONEILAN;35-35212;25;100;F-10-212500-001-01;15;0;0;ANSI 316;STEL n°6;0;A351 GR CF8M;0;0
76;MASONEILAN;35-35216;25;100;F-10-212500-001-02;15;0;0;ANSI 316;STEL n°6;STEL 6;A351 GR CF8M;0;0
77;SAPAG;RTS 68411;20;80;14/689228 3;0;Taraudé 3/4;0;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;0
78;SAPAG;RTS 68411;20;80;14/689228 1;0;Taraudé 3/4;0;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;0
79;SAPAG;P6A;20 I;115;0;0;0;0;0;PTFE C;0;316 L;0;0
80;SAPAG;P6A;20 I;115;0;0;0;0;0;PTFE C;0;316 L;0;0
81;SAPAG;P6A;20 I;115;0;0;0;0;0;PTFE C;0;316 L;0;0
82;SAPAG;RTS 68411;20;80;14/689228 5;0;Taraudé 3/4;0;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;0
83;SAPAG;RTS 68411;20;80;14/689228 6;0;Taraudé 3/4;0;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;0
84;SAPAG;RTS 68441A;40;16;10/508322 5;0;EN1092.1;0;0;0;0;A 105N;0;0
85;SAPAG;RTS 68441A;40;16;10/508322 4;0;EN1092.1;0;0;0;0;A 105N;0;0
86;SAPAG;RTS 68451;40;10;13/643327 1;0;0;0;0;0;0;0;0;0
87;SAPAG;RTS 68451;40;10;13/645328-1;0;0;0;0;0;0;0;0;0
88;SAPAG;RTS 68451;40;10;13/643327 4;0;0;0;0;0;0;0;0;0
89;SAPAG;RTS 68441A;40;16;10/508322 2;0;EN1092.1;0;0;0;0;A 105N;0;0
90;SAPAG;RTS 68441A;40;16;11/554661 1;0;0;0;0;PTFE;0;0;0;0
91;SAPAG;RTS 68441A;40;16;11/554661 2;0;0;0;0;PTFE;0;0;0;0
92;SAPAG;RTS 68441A;40;16;10/508322 6;0;EN1092.1;0;0;0;0;A 105N;0;0
93;SAPAG;RTS 68441A;40;16;11/554661 9;0;0;0;0;PTFE;0;0;0;0
94;SAPAG;RTS 68441A;40;16;11/554661 8;0;0;0;0;PTFE;0;0;0;0
95;SAPAG;68411A;40;0;0;0;0;0;0;0;0;0;0;0
96;SAPAG;68411A;40;0;0;0;0;0;0;0;0;0;0;0
97;SAPAG;68411A;40;0;0;0;0;0;0;0;0;0;0;0
98;SAPAG;68411A;40;0;0;0;0;0;0;0;0;0;0;0
99;MASONEILAN;;150;;;;;;;;;A216 GR WCB;PTFE;
100;;;75;20;;;;;;;;;;
101;MASONEILAN;48-2171;75;20;0;75;ISO PN20 E2;0;0;AISI 410;ANSI 410;A 351 GR CF8M;0;0
102;MASONEILAN;35-35112;150;10;0;500;EN1092-1 PN10;0;316L;STEL;ANSI 316L;A216 GR WCC;0;0
103;MASONEILAN;35-35112;150;10;0;500;EN 1092.1PN10;0;ANSI 316;STEL;ANSI 316L;A216 GR WCC;0;0
104;AMRI KSB;GAMMA;80;10;0;0;0;3T 6P 6 XV;0;XV;0;FT 25;0;0
105;AMRI KSB;ISORIA 10;80;10;0;0;0;3G 6K 6XV;0;0;0;0;0;0
106;AMRI KSB;ISORIA 10;80;10;0;0;0;3G 6K 6XV;0;0;0;0;0;0
107;AMRI KSB;ISORIA 10;80;10;0;0;0;3G 6K 6XV;0;0;0;0;0;0
108;AMRI KSB;ISORIA 10;80;10;0;0;0;3G 6K 6XV;0;0;0;0;0;0
109;AMRI KSB;Gamma;80;10;0;0;0;3T 6P 6 XV;0;XV;0;0;0;0
110;EMERSON;FIG 14 102;80;10;0;0;0;PRA00401XX0PM00;0;EPDM;INOX;FONTE GG25;Joint à lèvre;0
111;EMERSON;FIG 320 112;80;16;0;0;0;PRA00401XX0PM00;0;EPDM collé;Inox;0;0;0
112;AMRI KSB;ISORIA 10;100;10;76140045/0110;;;2 M11 3G 6K6 XV;;XV;;;;
113;MASONEILAN;Série 21 000;25;ISO PN 100E1;;3,8;ISO E1;62873404-1;;ANSI 316 STEL E;ANSI 316 STEL E;A351 GR CF8M;PTFE/CARB;LATTYFLON 3260
114;VALMET METSO;L12A150AA;150;25;C0001046;0;0;0;329SS;INCOLOY 825;316SS;CF8M;0;0
115;AMRI KSB;DANAIS 150;80;10;9 973 749 598 100;0;0;66E 6FB 2B;0;0;0;0;0;0
116;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
117;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
118;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
119;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
120;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
121;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
122;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
123;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
124;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
125;AMRI KSB;DANAIS 150;80;10;0;0;0;66E 6FB 2B;0;0;0;0;0;0
126;SAPAG;0;10 I;80;0;0;3/8éme (12/17);0;0;PTFE V;0;A 105;0;0
127;SAPAG;RTS 68411;10;80;12/643349 3;0;FILET 12/17;0;0;0;0;0;0;0
128;SAPAG;RTS 68411;10;80;12/643349 2;0;FILET 12/17;0;0;0;0;0;0;0
129;SAPAG;RTS 68411;10;80;12/643349 4;0;FILET 12/17;0;0;0;0;0;0;0
130;SAPAG;RTS 68411;10;80;12/643349 1;0;FILET 12/17;0;0;0;0;0;0;0
131;SAPAG;RTS 68411;10;80;12/643349 6;0;FILET 12/17;0;0;0;0;0;0;0
132;SAPAG;RTS 68411;10;80;12/643349 5;0;FILET 12/17;0;0;0;0;0;0;0
133;EMERSON;RTS 68411;10;80;17/791461 2;0;FILETS 3/8;0;0;0;0;0;0;0
134;EMERSON;RTS 68411;10;80;17/791461 3;0;FILETS 3/8;0;0;0;0;0;0;0
135;SAPAG;RTS 68411;10;80;14/689229 2;0;Taraudé 3/8ème;0;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;0
136;EMERSON;RTS 68411;10;80;17/789729 1;0;FILETS 3/8;0;0;0;0;0;0;0
137;EMERSON;RTS 68411;10;80;17/789729 2;0;FILETS 3/8;0;0;0;0;0;0;0
138;VALMET METSO;L12A080AA;80;0;C0001043;0;0;0;0;INCLOY825;316SS;CF8M;0;0
139;MASONEILAN;35-35222;80;10;F-12-217037-001-05;0;0;0;0;ANSI 316 + PTFE;ANSI 316L STEL;A216 GR WCC;0;0
140;MASONEILAN;35-35222;80;10;F-12-217037-001-06;0;0;0;0;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;0;0
141;MASONEILAN;35-35222;80;10;F-12-217037-001-4;0;0;0;0;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;0;0
142;MASONEILAN;35-35222;80;10;F-12-217037-001-3;0;0;0;0;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;0;0
143;MASONEILAN;35-35222;80;10;F-12-217037-001-01;0;0;0;0;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;0;0
144;MASONEILAN;35-35222;80;10;F-12-217037-001-02;0;0;0;0;ANSI 316 + PTFE;ANSI 316L STEL;A 216 GR WCC;0;0
145;MASONEILAN;35 - 35202;80;10;0;0;0;0;0;316;316 RD;A 216 GR WCC;PTFE/CARB;LATTY 3260 LM
146;MASONEILAN;Camflex II;80;10 PJ;;135;ENTRE BRIDES AFNOR;35-35202;ANSI 316 ;316 TEF;316 RD;A216 GR WCC;PTFE/carb;LATTYFLON 3260LM
147;AMRI KSB;DANAIS 150;500;10;0;0;0;66E 6F B2B;0;0;0;0;0;0
148;SAPAG;RTS 68411;10;80;14/689229 1;;Taraudé 3/8ème;;GX2CrNiMo 17-12-2;PTFE;GX2CrNiMo 17-12-2;GP 240 GH;PTFE/CARB 25%;
149;SAPAG;0;10;80;0;0;Taraudé 3/8ème;0;0;0;0;0;0;0
150;SCHLUMBERGER SEREG VANNES;0;0;0;0;0;0;0;0;INOX/TEFLON;A 564 GR 630;A216 WCC;0;0
151;SCHLUMBERGER SEREG VANNES;série 600;80;10;1B501T;0;0;0;0;316L;A564 GR 630;A216 WCC;PTFE;RAINEX
152;SCHLUMBERGER SEREG VANNES;0;80;10;0;0;0;MTLD 1A231A;0;316L;A564 GR 630;A216 WCC;PTFE;RAINEX
153;MASONEILAN;35-35222;80;10;F-14-219853-001-1;145;EN 1092-1 PN10;0;ANSI 316;ANSI 316 + PTFE;ANSI 316L STELLITE;A216 GR WCC;0;0
154;MASONEILAN;35000;50;0;0;0;ANSI 600 RF;35-35202;0;0;0;0;LATTYFLON;3260 LM
155;MASONEILAN;;50;;;;;;;316;316 RD;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM
156;MASONEILAN;35 - 35202;40;ANSI 600 RF;;;;;;316;STEL 6;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM
157;MASONEILAN;35 - 35202;40;ANSI 600 RF;;;;35-35202;;316;STEL 6;A216 GR WCC;PTFE/CARB;LATTYFLON 3260LM
158;MASONEILAN;35 - 35202;40;ANSI 600 RF;;;;;;316;STEL 6;A216 GR WCC;;LATTYFLON 3260LM
159;GEMU;0;40;25;550 40D6037;0;0;513G1RS115;0;0;0;0;0;0
160;GEMU;0;40;25;550 40D6037;0;0;513G1RS115;0;0;0;0;0;0
161;Socla;Sylax 149G42291N;300;16;;0;0;0;0;LI EPDM;DI 1.4408;0;0;0
162;Socla;Sylax 149G42291N;300;16;;0;0;0;0;LI EPDM;DI 1.4408;0;0;0
163;Socla;Sylax 149G42291N;300;16;564054;0;0;0;0;LI EPDM;DI 1.4408;0;0;0
164;Socla;Sylax 149G42291N;300;16;;0;0;0;0;LI EPDM;DI 1.4408;0;0;0
165;SAPAG;RTS 68412;20;0;23/328637070 6;0;0;0;INOX;0;INOX;0;0;0
166;SAPAG;RTS 68412;20;0;23/328637070 12;0;0;0;INOX;0;INOX;0;0;0
167;SAPAG;RTS 68412;20;0;23/328637070 4;0;0;0;INOX;0;INOX;0;0;0
168;SAPAG;RTS 68412;20;0;23/328637070 3;0;0;0;INOX;0;INOX;0;0;0
169;SAPAG;RTS 68412;20;0;23/328637070 2;0;0;0;INOX;0;INOX;0;0;0
170;SAPAG;RTS 68412;20;;23/328637070;0;0;0;INOX;0;INOX;0;0;0
171;SAPAG;RTS 68412;20;0;23/328637070 7;0;0;0;INOX;0;INOX;0;0;0
172;KEYSTONE;Fig 320-112;50;0;10124812-10; ;0;0;INOX;0;INOX;A536 65-45-12;0;0
173;SAPAG;RTS68251;50;40;23/328637010 1 ;0;A/SA182 F316/L;0;INOX;0;INOX;0;0;0
174;SAPAG;RTS 68412;20;0;23/328637070 15;0;0;0;INOX;0;INOX;0;0;0
175;SAPAG;RTS 68412;20;0;23/328637070 10;0;0;0;INOX;0;INOX;0;0;0
176;SAPAG;RTS 68412;20;0;23/328637070 14;0;0;0;INOX;0;INOX;0;0;0
177;SAPAG;RTS 68412;20;0;23/328637070 13;0;0;0;INOX;0;INOX;0;0;0
178;SAPAG;RTS 68412;20;0;23/328637070 5;0;0;0;INOX;0;INOX;0;0;0
179;SAPAG;RTS 68412;20;;23/328637070 1;0;0;0;INOX;0;INOX;0;0;0
180;SAPAG;RTS 68412;20;0;23/328637070 8;0;0;0;INOX;0;INOX;0;0;0
181;KEYSTONE;Fig 320-112;50;0;10132381-5; ;;0;INOX;0;INOX;A536 65-45-12;0;0
182;SAPAG;RTS68251;50;40;23/328637010 2;0;A/SA182 F316/L;0;INOX;0;INOX;0;0;0
183;AMRI KSB;ISORIA 10 TYPE 1;200;10;76218358/0110;0;0;3T 6K 3G XV;INOX 13% CHROME;EPDM XV;Fonte graphite sphéroidal;Fonte FGL;0;0
184;AMRI KSB;ISORIA 10 TYPE 1;200;10;76218358/0110;0;0;3T 6K 3G XV;INOX 13% CHROME;EPDM XV;Fonte graphite sphéroidal;Fonte FGL;0;0
