NUM POSITIONNEUR;FOURNISSEUR POSITIONNEUR;INTELLIGENT;ELECTRIQUE;PNEUMATIQUE;type positionneur;N° DE SERIE;SIGNAL ENTREE;PRES. ALIM.;SIGNAL SORTIE;REPERE CAME;FACE CAME;ACTION DIRECTE;ACTION INVERSE;LOI;FERMEE A;OUVERTE A
138;VALMET METSO;X;0;0;ND9102HN/I56;PH19030543;0;8 bars max;0;0;0;X;0;LINEAIRE;4 mA;20mA
139;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020401;4 - 20 mA;8 bar max;0,48 - 1,03 bar;0;0;x;0;Linéaire;4 mA;20 mA
140;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020397;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
141;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020392;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
142;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020400;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
143;VALMET METSO;X;0;0;ND 9103 HN/I56;PH13020396;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
144;AMRI KSB;X;0;0;ND 9103 HN/I56;PH13020394;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
145;VALMET METSO;X;;0;ND 9103HN/I52;PH15220868;4 - 20 mA;1.8 bar;;;0;X;0;Linéaire;4 mA;20 mA
146;VALMET METSO;X;;;ND 9103 HN/I56;PH15370185;4 - 20 mA;1.8 bar;;;;X;;Linéaire;4 mA;20 mA
147;METSO;X;0;0;ND 9106 HN/I56;PH12170982;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
148;;;;;;;;;;;;;;;;
149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;SCHLUMBERGER SEREG VANNES;0;X;0;KS DAO 2B1D88;1 B 502 T;4 - 20 mA;1,4 bar;0;A;0;0;X;Linéaire;4 mA;20 mA
151;SCHLUMBERGER SEREG VANNES;0;X;0;KS DAO 2B1D88;1B503T;4 - 20 mA;1,4 bar;0,2 - 1 bar;A;0;0;X;Linéaire;4 mA;20 mA
152;SCHLUMBERGER SEREG VANNES;0;X;0;KS DAO 2B1D88;1B501T;4 - 20 mA;1,4 bar;0;A;0;0;X;Linéaire;4 mA;20 mA
153;AMRI KSB;X;0;0;ND 9103 HN/I56;PH14070029;4 - 20 mA;1,7 bar;0;0;0;X;0;Linéaire;4 mA;20 mA
154;MASONEILAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;NELES;X;;;ND9102HN/I56;PH19410280;4 - 20 mA;8 bar max;;;;X;;Linéaire;4 mA;20 mA
156;MASONEILAN;;X;;8013;64-2133-01-1;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;2;A;X;;Egal pourcentage;4 mA;20 mA
157;MASONEILAN;;X;;8013;64-2133-01-3;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;2;A;X;;Egal pourcentage;4 mA;20 mA
158;MASONEILAN;;X;;8013;64-2133-01-2;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;2;A;X;;Egal pourcentage;4 mA;20 mA
159;AMRI KSB;0;X;0;EPOSE 1435;88092764-5175459/0033;0;0;0;0;0;0;0;0;0;0
160;AMRI KSB;0;X;0;EPOSE 1435;88092764-5175459/0027;0;0;0;0;0;0;0;0;0;0
161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
185;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
198;METSO;X; ;0;ND 9106 HN;PH12510601;4 - 20 mA;1,4 à 8 bar;0;0;0;X;0;Linéaire;4 mA;20 mA
199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;;;;;;;;;;;;;;;;
201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
218;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;;;;;
220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;AMRI KSB;0;0;X;0;0;0;0;0;0;0;0;0;0;0;0
224;METSO;X;0;0;ND 9106 HN/I56;PH14050313;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
225;METSO;X;0;0;ND 9106 HN;PH16480328;4 - 20 mA;0;0;0;0;0;0;Linéaire;4 mA;20 mA
226;METSO;X;0;0;ND 9106 HN/I56;PH10150302;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
227;METSO;X;0;0;ND 9106 HN/I56;PH12170978;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
228;METSO;X;0;0;ND 9106 HN/I56;PH12170977;4 - 20 mA;8 bar max;0;0;0;x;0;Linéaire;4 mA;20 mA
229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;METSO;X;0;0;ND 9106 HN/I56;PH13020411;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
232;AMRI KSB;0;0;X;0;0;0,2 - 1 bar;0;0;0;0;0;0;Linéaire;0;0
233;METSO;X;0;0;ND 9106 HN/I56;PH170040457;4 - 20 mA;8 bar max;0;0;0;X;0;linéaire;4 mA;20 mA
234;AMRI KSB;0;0;X;0;0;0;0;0;0;0;0;0;Linéaire;0;0
235;METSO;X;0;0;ND 9106 HN/I56;PH170040456;4 - 20 mA;8 bar max;0;0;0;X;0;linéaire;4 Ma;20 mA
236;AMRI KSB;0;0;X;0;0;0;0;0;0;0;0;0;0;0,2 bar;1 bar
237;METSO;X;0;0;ND 9106 HN/I56;PH14060370;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
238;AMRI KSB;0;0;X;0;0;0,2 - 1 bar;0;0;0;0;0;0;Linéaire;0,2 bar;1 bar
239;METSO;X;0;0;ND 9103 HN/I56;PH170040458;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
240;AMRI KSB;0;0;X;0;0;0,2 - 1 bar;0;0;0;0;0;0;Linéaire;0;0
241;METSO;X;0;0;ND 9103 HN/I56;PH170040459;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
242;METSO;X;0;0;ND 9106 HN/I56;0;4 - 20 mA;0;0;0;0;X;0;0;4 mA;20 mA
243;METSO;x;0;0;ND 9106 HN/I56;PH14050314;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
244;METSO;X;0;0;ND 9106 HN/I56;PH12170974;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
245;METSO;X;0;0;ND 9106 HN/I56;PH12170975;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
246;METSO;X;0;0;ND 9106 HN/I56;PH12170976;4 - 20 mA;8 bar max;0;0;0;x;0;Linéaire;4 mA;20 mA
247;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
248;AMRI KSB;0;0;X;0;0;0,2 - 1 bar;0;0;3;0;X;0;Linéaire;0,2 bar;1 bar
249;METSO;X;0;0;ND 9103 HN/I56;PH14200341;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
250;AMRI KSB;0;0;X;0;0;0,2 - 1 bar;0;0;0;0;X;0;Linéaire;0,2 bar;1 bar
251;METSO;X;0;0;ND 9106 HN/I56;PH170040453;4 - 20 mA;8 bar max;0;0;0;x;0;Linéaire;4 mA;20 mA
252;METSO;X;0;0;ND 9103 HN/I56;PH16480327;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
253;SAMSON;;X;;3772-0;890480;4 - 20 mA;3 - 6 bar;;11;B;X;;Linéaire;4 mA;20 mA
254;METSO;X;0;0;ND 9103 HN/I56;PH17040455;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
255;METSO;X;0;0;ND 9106 HN/I56;PH14500299;4 - 20 mA;8 bar max;0;0;0;X;0;Linéaire;4 mA;20 mA
256;METSO;X;0;0;ND 9102 HN/I56;0;4 - 20 mA;8 bar max;0;0;0;0;0;Linéaire;4 mA;20 mA
257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
258;METSO;X;;;ND 822/S1;2001250493;4 - 20 mA;2,5 - 8 bar;;;;X;;Linéaire;4 mA;20 mA
259;METSO;X;0;0;ND 9102 HN/I56;0;4 - 20 mA;8 bar max;0;0;0;X;0;0;4 mA;20 mA
260;VALMET METSO;X;0;0;ND 9103HN/I52;PH14500300;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;0;0;X;0;Linéaire;4 mA;20 mA
261;FISHER;X;;;DVC 5020;EU03267209;4 - 20 mA;3,8 bar max;0 - 2,3 bar;;;;;linéaire;20 mA;4 mA
262;MASONEILAN;;X;;8013;;4 - 20 mA;1,4 bar;0,48 - 1,03 bar;8;;X;;Linéaire;20 mA;4 mA
263;EMERSON-PENTAIR;X;;;DVC 5020;EU 03267209;4 - 20 mA;3,8 bar max;0 - 2,3 bar;;;;X;Linéaire;20 mA;4 mA
264;METSO;X;;;ND 9106 HN;PH08260643;4 - 20 mA;1,4 à 8 bar;;;;;;Linéaire;4 mA;20 mA
265;CCI VALVE;X;0;0;C330;312208;4 - 20 mA;1,4 à 7 bar;0;0;0;X;0;Linéaire;4 mA;20 mA
266;MASONEILAN;;X;;8013;62-8734-01-1;4 - 20 mA;2,1 bar;0,48 - 1,65 bar;2;;X;;Egal pourcentage;4 mA;20 mA
267;;;;;;;;;;;;;;;;
268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
272;;;;;;;;;;;;;;;;
273;METSO;X;0;0;ND 822/S1A;PH03170577;4 - 20 mA;2,5 - 8 bar;0;0;0;0;0;Linéaire;4 mA;20 mA
274;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;;;
276;;;;;;;;;;;;;;;;
277;;;;;;;;;;;;;;;;
278;;;;;;;;;;;;;;;;
279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;;;;;;;;;;;;;;;;
281;;;;;;;;;;;;;;;;
282;;;;;;;;;;;;;;;;
283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;AMRI KSB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
286;;;;;;;;;;;;;;;;
287;;;;;;;;;;;;;;;;
288;;;;;;;;;;;;;;;;
289;;;;;;;;;;;;;;;;
290;EMERSON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
292;;;;;;;;;;;;;;;;
293;EMERSON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
294;;;;;;;;;;;;;;;;
295;;;;;;;;;;;;;;;;
296;EMERSON;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
298;;;;;;;;;;;;;;;;
299;;;;;;;;;;;;;;;;
300;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;;;;;
302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303;AMRI KSB;;;X;;;0,2 - 1 bar;;;N°1;;X;;Proportionnelle;0,2 bar;1 bar
304;VALMET METSO;X;0;0;ND 9102 HN/I56;PH10150303;4 - 20 mA;1,4 à 8 bar;0;0;0;X;0;linéaire;4 mA;20 mA
305;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
307;METSO;X;X;0;ND103HN/156;PH20190291;4-20Ma;8 bars max;0;0;0;X;0;Lineaire;4 Ma;20 Ma
308;;;;;;;;;;;;;;;;
