ATELIER;Repère;AFFECTATION;MACHINE;N° COMMANDE;DATE ;FOURNISSEUR  VANNE;NUM POSITIONNEUR;NUM CORPS;NUM ACTIONNNEUR;VANNES TOR;VANNES REG;ORGANE  REGLANT;DATE ACHAT;FREQ. REVISION;VUE EN;A VOIR EN;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 22 010.2;Alimentation rapide cuite de 1er jet n°5;Cuites de 1er jet;1262AR;12/12/12;EMERSON;29;29;29;TOR;;PAPILLON;2012;100;2012;2112;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 22 012.3;Alimentation rapide cuite de 1er jet n°6;Cuites de 1er jet;1262AR;12/12/12;EMERSON;30;30;30;TOR; ;PAPILLON;2012;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 22 020.2;Alimentation rapide cuite de 2ème jet n°1;Cuites de 2ème jet;1756AR;11/27/17;EMERSON;31;31;31;TOR;0;PAPILLON;2017;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 22 022.2;Alimentation rapide cuite de 2ème jet n°2;Cuites de 2ème jet;1756AR;11/28/17;EMERSON;32;32;32;TOR;;PAPILLON;2017;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 03 0169;Alimentation rapide cuite de 2ème jet n°3;cuites de 2ème jet;030030 AR;5/16/03;AMRI KSB;33;33;33;TOR;;PAPILLON;2003;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 22 026.2;Alimentation rapide cuite de 3ème jet n°1;Cuites de 3ème jet;1756AR;11/26/17;EMERSON;34;34;34;TOR;0;PAPILLON;2017;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 22 028.2;Alimentation rapide cuite de 3ème jet n°2;Cuites de 3ème jet;1756AR;11/26/17;EMERSON;35;35;35;TOR;;PAPILLON;2017;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11 03 0705;Alimentation rapide turbine affinage n°1;Turbines affinage;1233AR;7/3/12;AMRI KSB;36;36;36;TOR;0;PAPILLON;2012;100;2016;2116;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11 03 0714;Alimentation rapide turbine affinage n°2;Turbines affinage;0910AR;3/3/09;AMRI KSB;37;37;37;TOR;;PAPILLON;2009;100;2016;2116;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Alimentation rapide turbine de 2ème jet n°1;Turbines de 2ème jet;0910AR;3/3/09;AMRI KSB;38;38;38;TOR;0;PAPILLON;2009;10;2016;2026;;;;;;;;;;;;;;;;;;;;;
Cristallisation;;Alimentation rapide turbine de 2ème jet n°2;Turbines de 2ème jet;0910AR;3/3/09;AMRI KSB;39;39;39;TOR;0;PAPILLON;2009;10;2016;2026;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Alimentation rapide turbine de 3ème jet n°1;Turbines de 3ème jet;0910AR;3/3/09;AMRI KSB;40;40;40;TOR;0;PAPILLON;2009;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;;Alimentation rapide turbine de 3ème jet n°2;Turbines de 3ème jet;1233AR;7/3/12;AMRI KSB;41;41;41;TOR;;PAPILLON;2012;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 03 0188;alimentation très rapide cuite 1er jet n°2;cuites de 1er jet;970098 AR;3/25/97;EMERSON;42;42;42;TOR;;PAPILLON;1997;100;2004;2104;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 07 03 0204;alimentation très rapide cuite 1er jet n°3;cuites de 1er jet;970098 AR;3/25/97;EMERSON;43;43;43;TOR;;PAPILLON;1997;99;2004;2103;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV1122011,7;BY PASS MC1 POMPE 2 EVBYPASS2;Cuites de 1er jet;2248AR;11/15/22;VALMET METSO;44;44;44;TOR;0;0;2022;15;2023;2038;;;;;;;;;;;;;;;;;;;;;
