ATELIER;Repère;AFFECTATION;MACHINE;N° COMMANDE;DATE ;FOURNISSEUR  VANNE;NUM POSITIONNEUR;NUM CORPS;NUM ACTIONNNEUR;VANNES TOR;VANNES REG;ORGANE  REGLANT;DATE ACHAT;FREQ. REVISION;VUE EN;A VOIR EN;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 001,6;Purge condensats cuite de 1er jet n° 1;Cuites de 1er jet;1809AR;4/4/18;AMRI KSB;116;116;116;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 007,3;Purge condensats cuite de 1er jet n° 2;Cuites de 1er jet;1809AR;4/4/18;AMRI KSB;117;117;117;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 009,6;Purge condensats cuite de 1er jet n° 4;Cuites de 1er jet;1809AR;4/4/18;AMRI KSB;118;118;118;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 046,4;Purge condensats cuite de 1er jet n° 5;Cuites de 1er jet;1809AR;4/4/18;AMRI KSB;119;119;119;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 005,7;Purge condensats cuite de 1er jet n°3;Cuites de 1er jet;1809AR;4/4/18;AMRI KSB;120;120;120;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 021,7;Purge condensats cuite de 2ème jet n°1;Cuites de 2ème jet;1809AR;4/4/18;AMRI KSB;121;121;121;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 023,7;Purge condensats cuite de 2ème jet n°2;Cuites de 2ème jet;1809AR;4/4/18;AMRI KSB;122;122;122;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 025,7;Purge condensats cuite de 2ème jet n°3;Cuites de 2ème jet;1809AR;4/4/18;AMRI KSB;123;123;123;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 027,7;Purge condensats cuite de 3ème jet n°1;Cuites de 3ème jet;1809AR;4/4/18;AMRI KSB;124;124;124;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 22 029,7;Purge condensats cuite de 3ème jet n°2;Cuites de 3ème jet;1809AR;4/4/18;AMRI KSB;125;125;125;TOR;0;PAPILLON;2018;100;0;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Purge vide 1er jet n°2;Cuites de 1er jet;0;12/31/99;SAPAG;126;126;126;TOR;0;BOULE;0;99;2010;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 000,3;Purge vide cuite de 1er jet n°1;Cuites de 1er jet;4500240490;7/4/05;SAPAG;127;127;127;TOR;;BOULE;2012;15;;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 002,3;Purge vide cuite de 1er jet n°2;Cuites de 1er jet;4500240490;7/4/05;SAPAG;128;128;128;TOR;;BOULE;2012;15;0;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 004,3;Purge vide cuite de 1er jet n°3;Cuites de 1er jet;4500240490;7/4/05;SAPAG;129;129;129;TOR;;BOULE;2012;15;0;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 008,3;Purge vide cuite de 1er jet n°4;Cuites de 1er jet;4500239173;7/4/05;SAPAG;130;130;130;TOR;;BOULE;2012;15;0;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 010,3;Purge vide cuite de 1er jet n°5;Cuites de 1er jet;4500239173;7/4/05;SAPAG;131;131;131;TOR;;BOULE;2012;15;0;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 012,4;Purge vide cuite de 1er jet n°6;Cuites de 1er jet;4500239173;7/4/05;SAPAG;132;132;132;TOR;;BOULE;2012;15;0;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV0222 020.3;Purge vide cuite de 2ème jet n°1;Cuites de 2ème jet;1722AR;4/21/17;EMERSON;133;133;133;TOR;0;BOULE;2017;10;2017;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV0222 022.3;Purge vide cuite de 2ème jet n°2;Cuites de 2ème jet;1722AR;4/21/17;EMERSON;134;134;134;TOR;0;BOULE;2017;10;2017;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 024.3;Purge vide cuite de 2ème jet n°3;Cuites de 2ème jet;1416AR;2/3/14;SAPAG;135;135;135;TOR; ;BOULE;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV0222 026.3;Purge vide cuite de 3ème jet n°1;Cuites de 3ème jet;1722AR;4/21/17;EMERSON;136;136;136;TOR;0;BOULE;2017;10;2017;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV0222 023.3;Purge vide cuite de 3ème jet n°2;Cuites de 3ème jet;1722AR;4/21/17;EMERSON;137;137;137;TOR;0;BOULE;2017;10;2017;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;TV 01 03 0509;Refroidissement malaxeurs verticaux;Malaxeurs verticaux;1840AR;12/1218;VALMET METSO;138;138;138;0;REG;PAPILLON;2010;100;0;2110;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0518;Régulation sirop cuite de 1er jet n°1 (Sursat);Cuites de 1er jet;1260 AR;12/12/12;MASONEILAN;139;139;139; ;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0526;Régulation sirop cuite de 1er jet n°2 (sursat);Cuites de 1er jet;1260 AR;12/12/12;MASONEILAN;140;140;140;0;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0534;Régulation sirop cuite de 1er jet n°3 (Sursat);Cuites de 1er jet;1260 AR;12/12/12;MASONEILAN;141;141;141; ;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0550;Régulation sirop cuite de 1er jet n°4 (Sursat);Cuites de 1er jet;1260 AR;12/12/12;MASONEILAN;142;142;142; ;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0558;Régulation sirop cuite de 1er jet n°5 (Sursat);Cuites de 1er jet;1260 AR;12/12/12;MASONEILAN;143;143;143;0;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0566;Régulation sirop cuite de 1er jet n°6 (Sursat);Cuites de 1er jet;1260 AR;12/12/12;MASONEILAN;144;144;144;0;REG;OPERCULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0628;Régulation sirop cuite de 2ème jet n°1 (sursat);Cuites de 1er jet;0;12/31/99;MASONEILAN;145;145;145;0;REG;OPERCULE;0;20;2017;2037;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 22 0636;Régulation sirop cuite de 2ème jet n°2 (sursat);Cuites de 2ème jet;;;MASONEILAN;146;146;146;;REG;OPERCULE;;10;2017;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 18 22 0536;Régulation vide 1er jet;Cuites de 1er jet;1256AR;12/11/12;AMRI KSB;147;147;147; ;REG;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;;Rinçage niveau malaxeur affinage; ;1416AR;2/3/14;SAPAG;148;148;148;TOR;;BOULE;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Rinçage niveau malaxeur de 3ème jet;Malaxeurs de 3ème;0; ;SAPAG;149;149;149;0;0;BOULE;1994;15;2012;2027;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0101;Sursaturation cuite de 1er jet n°6;Cuites de 1er jet;0;12/31/99;SCHLUMBERGER SEREG VANNES;150;150;150;0;REG;OPERCULE;0;99;1997;2096;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0285 à démonter;Sursaturation cuite de 2ème jet n°1;Cuites de 2ème jet;0;12/31/99;SCHLUMBERGER SEREG VANNES;151;151;151;0;REG;OPERCULE;0;100;1997;2097;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0301 à démonter;Sursaturation cuite de 2ème jet n°2;Cuites de 2ème jet;0;12/31/99;SCHLUMBERGER SEREG VANNES;152;152;152;0;REG;OPERCULE;0;100;1997;2097;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0053;Sursaturation cuite de 2ème jet n°3;Cuites de 2ème jet;1417 AR;2/3/14;MASONEILAN;153;153;153; ;REG;PAPILLON;2014;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0317;Sursaturation cuite de 3ème jet n°1;Cuites de 3ème jet ;0;12/31/99;MASONEILAN;154;154;154;0;REG;OPERCULE;0;15;1997;2100;;;;;;;;;;;;;;;;;;;;;
Cristallisation;DV 07 03 0333;Sursaturation cuite de 3ème jet n°2;Cuites de 3ème jet;;;MASONEILAN;155;155;155;;REG;OBTURATEUR;;10;2021;2031;;;;;;;;;;;;;;;;;;;;;
Cristallisation;TV 01 03 0525;Température malaxeur vertical n° 1;Malaxeur vertical n° 1;940251 AR;3/23/94;MASONEILAN;156;156;156;;REG;OPERCULE;1994;12;2018;2030;;;;;;;;;;;;;;;;;;;;;
Cristallisation;TV 01 03 0526;Température malaxeur vertical n° 2;Malaxeur vertical n° 2;940251 AR;3/23/94;MASONEILAN;157;157;157;;REG;OPERCULE;1994;12;2018;2030;;;;;;;;;;;;;;;;;;;;;
Cristallisation;TV 01 03 0527;Température malaxeur vertical n° 3;Malaxeur vertical n° 3;940251 AR;3/22/94;MASONEILAN;158;158;158;;REG;OPERCULE;1994;100;2009;2109;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Transport 2ème jet BMA K 3300 n° 1;Turbines de 2ème jet;0;12/31/99;BMA;159;159;159; ;REG;CLAPET;2012;100;2012;2112;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Transport 2ème jet BMA K 3300 n° 2;Turbines de 2ème jet;0;12/31/99;BMA;160;160;160; ;REG;CLAPET;2012;100;2012;2112;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine 1er jet  n°1 vanne égouts pauvres (P1);Turbines de 1er jet;0;12/31/99;Five Cail;161;161;161;TOR;0;PAPILLON;2013;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine 1er jet  n°2 vanne égouts pauvres (P1);Turbines de 1er jet;0;12/31/99;Five Cail;162;162;162;TOR;0;PAPILLON;2013;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine 1er jet  n°3 vanne égouts pauvres (P1);Turbines de 1er jet;0;12/31/99;Five Cail;163;163;163;TOR;0;PAPILLON;2013;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine 1er jet  n°4 vanne égouts pauvres (P1);Turbines de 1er jet;0;12/31/99;Five Cail;164;164;164;TOR;0;PAPILLON;2013;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV22T21;Turbine 2e jet 1 - B5 tuyau transport;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;165;165;165;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV26T21;Turbine 2e jet 1 - Clairçage global;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;166;166;166;TOR;;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV25T21;Turbine 2e jet 1 - Dégazage filtres;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;167;167;167;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV20T21;Turbine 2e jet 1 - Entrée nettoyage eau/ JAE;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;168;168;168;TOR;;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11T21;Turbine 2e jet 1 - Entrée nettoyage vapeur;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;169;169;169;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV10T21;Turbine 2e jet 1 - Nettoyage tuyaux alimentation;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;170;170;170;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV24T21;Turbine 2e jet 1 - Purge filtres transport;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;171;171;171;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV23T21;Turbine 2e jet 1 - Régulation transport;TURBINE 2E JET 1;2307AR;3/13/23;KEYSTONE;172;172;172;REG;0;Papillon;2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV21T21;Turbine 2e jet 1 - Vanne  entrée  filtre  transport;TURBINE 2E JET 1;2307AR;4/1/23;EMERSON;173;173;173;OUI;NON;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV22T22;Turbine 2e jet 2 - B5 tuyau transport;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;174;174;174;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV26T22;Turbine 2e jet 2 - Clairçage global;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;175;175;175;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV25T22;Turbine 2e jet 2 - Dégazage filtres;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;176;176;176;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV20T22;Turbine 2e jet 2 - Entrée nettoyage eau/ JAE;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;177;177;177;TOR;  ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV11T22;Turbine 2e jet 2 - Entrée nettoyage vapeur;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;178;178;178;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV10T22;Turbine 2e jet 2 - Nettoyage tuyaux alimentation;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;179;179;179;TOR; ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV24T22;Turbine 2e jet 2 - Purge filtres transport;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;180;180;180;TOR;  ;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV23T22;Turbine 2e jet 2 - Régulation transport;TURBINE 2E JET 2;2307AR;3/13/23;KEYSTONE;181;181;181;REG;0;Papillon;2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV21T22;Turbine 2e jet 2 - Vanne  entrée  filtre  transport;TURBINE 2E JET 2;2307AR;4/1/23;EMERSON;182;182;182;OUI;NON;BOULE;01/04/2023;99;2023;2123;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2 EV 21 12 0088;Turbine de 1er jet n° 1 égouts pauvres;Turbines de 1er jet;0609AR;2/8/06;AMRI KSB;183;183;183;TOR;0;PAPILLON;2006;99;0;2105;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2 EV 21 00 0000;Turbine de 1er jet n° 2 égouts pauvres;Turbines de 1er jet;0609AR;2/8/06;AMRI KSB;184;184;184;TOR;0;PAPILLON;2006;99;0;2105;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2 EV 21 00 0000;Turbine de 1er jet n° 3 égouts pauvres;Turbines de 1er jet;0609AR;2/8/06;AMRI KSB;185;185;185;TOR;0;PAPILLON;2006;99;0;2105;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2 EV 21 00 0000;Turbine de 1er jet n° 4 égouts pauvres;Turbines de 1er jet;0609AR;2/8/06;AMRI KSB;186;186;186;TOR;0;PAPILLON;2006;99;0;2105;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine de 1er jet n°1 vanne égouts riches (R1);Turbines de 1er jet;0;12/31/99;Five Cail;187;187;187;TOR;0;PAPILLON;0;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine de 1er jet n°2 vanne égouts riches (R1);Turbines de 1er get;0;12/31/99;Five Cail;188;188;188;TOR;0;PAPILLON;0;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine de 1er jet n°3 vanne égouts riches (R1);Turbines de 1er jet;0;12/31/99;Five Cail;189;189;189;TOR;0;PAPILLON;2013;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Turbine de 1er jet n°4 vanne égouts riches (R1);Turbines de 1er jet;0;12/31/99;Five Cail;190;190;190;TOR;0;PAPILLON;2013;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 11 22 047.5;Vanne by-pass MC2 pompe n°1;Malaxeur de coulée cuites de 2ème jet;1701AR;1/9/17;AMRI KSB;191;191;191;TOR;0;PAPILLON;2017;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EVCASVIDATMO3_1;VANNE CASSE VIDE ATMOSPHERIQUE 3N1;0;2242AR;11/3/22;EMERSON;192;192;192;TOR;0;0;03/11/2022;99;2023;2122;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EVCASVIDATMO3_2;VANNE CASSE VIDE ATMOSPHERIQUE 3N2;0;2242AR;11/3/22;EMERSON;193;193;193;TOR;0;0;03/11/2022;99;2023;2122;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EVCASVIDVAP3_1;VANNE CASSE VIDE VAPEUR 3N1;0;2242AR;11/3/22;EMERSON;194;194;194;TOR;0;0;03/11/2022;99;2023;2122;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EVCASVIDVAP3_2;VANNE CASSE VIDE VAPEUR 3N2;0;2242AR;11/3/22;EMERSON;195;195;195;TOR;0;0;03/11/2022;99;2023;2122;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EVPETITVIDE3_1;VANNE PETIT VIDE 3N1;0;2242AR;11/3/22;EMERSON;196;196;196;TOR;0;0;03/11/2022;99;2023;2122;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EVPETITVIDE3_2;VANNE PETIT VIDE 3N2;0;2242AR;12/31/99;EMERSON;197;197;197;TOR;0;0;03/11/2022;99;2023;2122;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV02220540;Vanne pression barriquand JUS DIF.;Barriquand jus diffusion;1262AR;12/12/12;EMERSON;198;198;198; ;REG;PAPILLON;2012;100;2012;2112;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV2122039,4;Vanne remplissage pesage egouts R1;0;2053AR;10/28/20;AMRI KSB;199;199;199;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 14 22 0411;Vanne remplissage pesage mélasse;Pesage mélasse;1262AR;12/12/12;EMERSON;200;200;200;TOR;;PAPILLON;2012;10;2018;2028;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,1;Vanne rincage purge condensats cuite 1er jet n°1;Cuites de 1er jet;1901AR;1/28/19;EMERSON;201;201;201;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,2;Vanne rincage purge condensats cuite 1er jet n°2;Cuites de 1er jet;1901AR;1/28/19;EMERSON;202;202;202;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,3;Vanne rincage purge condensats cuite 1er jet n°3;Cuites de 1er jet;1901AR;1/28/19;EMERSON;203;203;203;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,4;Vanne rincage purge condensats cuite 1er jet n°4;Cuites de 1er jet;1901AR;1/28/19;EMERSON;204;204;204;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,5;Vanne rincage purge condensats cuite 1er jet n°5;Cuites de 1er jet;1901AR;1/28/19;EMERSON;205;205;205;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,6;Vanne rincage purge condensats cuite 1er jet n°6;Cuites de 1er jet;1901AR;1/28/19;EMERSON;206;206;206;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 020,0;Vanne rincage purge condensats cuite 2ème jet n°1;Cuites de 2ème jet;1901AR;1/28/19;EMERSON;207;207;207;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 022,0;Vanne rincage purge condensats cuite 2ème jet n°2;Cuites de 2ème jet;1901AR;1/28/19;EMERSON;208;208;208;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 02 22 048,0;Vanne rincage purge condensats cuite 2ème jet n°3;Cuites de 2ème jet;1901AR;1/28/19;EMERSON;209;209;209;TOR;0;BOULE;2010;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV2122039,5;Vanne vidange pesage egouts R1;0;2053AR;10/28/20;AMRI KSB;210;210;210;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 14 22 0412;Vanne vidange pesage mélasse;Pesage mélasse;0;12/31/99;EMERSON;211;211;211;TOR;0;PAPILLON;1994;15;2022;2037;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 000.3;Vapeur coulée couronne cuite de 1er jet n°1;Cuites de 1er jet;0;12/31/99;SAPAG;212;212;212;TOR;0;BOULE;2011;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 002.3;Vapeur coulée couronne cuite de 1er jet n°2;Cuites de 1er jet;0;12/31/99;SAPAG;213;213;213;TOR;0;BOULE;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 004.3;Vapeur coulée couronne cuite de 1er jet n°3;Cuites de 1er jet;1261AR;12/14/12;SAPAG;214;214;214;TOR; ;BOULE;2012;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 008.3;Vapeur coulée couronne cuite de 1er jet n°4;Cuites de 1er jet;1261AR;12/14/12;SAPAG;215;215;215;TOR; ;BOULE;2012;100;2014;2114;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 010.3;Vapeur coulée couronne cuite de 1er jet n°5;Cuites de 1er jet;1261AR;12/14/12;SAPAG;216;216;216;TOR; ;BOULE;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;2EV 02 22 012.4;Vapeur coulée couronne cuite de 1er jet n°6;Cuites de 1er jet;0;12/31/99;SAPAG;217;217;217;TOR;0;BOULE;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;;Vapeur coulée couronne cuite de 2ème jet n°1;Cuites de 2ème jet;;;NORBRO;218;218;218;TOR;;BOULE;;20;2014;2034;;;;;;;;;;;;;;;;;;;;;
Cristallisation;;Vapeur coulée couronne cuite de 2ème jet n°2;Cuites de 2ème jet;;;SAPAG;219;219;219;TOR;;BOULE;;10;2015;2025;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 03 0175;Vapeur coulée couronne cuite de 2ème jet n°3;Cuites de 2ème jet;0;12/31/99;SAPAG;220;220;220;TOR;0;BOULE;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 03 0437;Vapeur coulée couronne cuite de 3ème jet n° 1;Cuites de 3ème jet;0;12/31/99;SAPAG;221;221;221;TOR;0;Boule;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;EV 01 03 0453;Vapeur coulée couronne cuite de 3ème jet n° 2;Cuites de 3ème jet;0;12/31/99;SAPAG;222;222;222;TOR;0;Boule;2011;100;2011;2111;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Vapeur cuite de 1er jet n°1;Cuites de 1er jet;0;12/31/99;AMRI KSB;223;223;223;0;REG;PAPILLON;1987;15;2011;2026;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0516;Vapeur cuite de 1er jet n°1;Cuites de 1er jet;1402AR;1/13/14;AMRI KSB;224;224;224;;REG;PAPILLON;2014;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0524;Vapeur cuite de 1er jet n°2;cuites de 1er jet;0;12/31/99;AMRI KSB;225;225;225;0;REG;PAPILLON;0;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 03 0087;Vapeur cuite de 1er jet n°2;Cuites de 1er jet;0;3/1/12;AMRI KSB;226;226;226;0;REG;PAPILLON;2012;100;2012;2112;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0564;Vapeur cuite de 1er jet n°3;Cuites de 1er jet;1222AR;3/23/12;AMRI KSB;227;227;227;0;REG;PAPILLON;2012;10;2019;2029;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0548;Vapeur cuite de 1er jet n°4;Cuites de 1er jet;1222AR;3/23/12;AMRI KSB;228;228;228; ;REG;PAPILLON;2012;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0556;Vapeur cuite de 1er jet n°5;Cuites de 1er jet;1222AR;3/23/12;AMRI KSB;229;229;229;TOR; ;PAPILLON;2012;100;2018;2118;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Vapeur cuite de 1er jet n°6;Cuites de 1er jet;0;12/31/99;AMRI KSB;230;230;230;0;REG;PAPILLON;1987;99;1997;2096;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0532;Vapeur cuite de 1er jet n°6;Cuites de 1er jet;1222AR;3/23/12;AMRI KSB;231;231;231;0;REG;PAPILLON;2012;100;2013;2113;;;;;;;;;;;;;;;;;;;;;
Cristallisation;A démonter;Vapeur cuite de 2ème jet n°1;Cuites de 2ème jet;0;12/31/99;AMRI KSB;232;232;232;0;REG;PAPILLON;1981;100;1997;2097;;;;;;;;;;;;;;;;;;;;;
Cristallisation;PV 02 22 0626;Vapeur cuite de 2ème jet n°1;cuites de 2ème jet;1701AR;1/9/17;AMRI KSB;233;233;233;;REG;PAPILLON;2017;100;2017;2117;;;;;;;;;;;;;;;;;;;;;
Cristallisation;0;Vapeur cuite de 2ème jet n°2;Cuites de 2ème jet;0;12/31/99;AMRI KSB;234;234;234;0;REG;PAPILLON;1981;15;1997;2100;;;;;;;;;;;;;;;;;;;;;
