ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;N° COMMANDE;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN
199;Vanne remplissage pesage egouts R1;NULL;199;2;199;NULL;2053AR;2;EV2122039,4;NULL;NULL;NULL;NULL;NULL;NULL
200;Vanne remplissage pesage mélasse;Pesage mélasse;200;2;200;NULL;1262AR;10;EV 14 22 0411;2012;2018;10;PAPILLON;TOR;2028
201;Vanne rincage purge condensats cuite 1er jet n°1;Cuites de 1er jet;201;2;201;NULL;1901AR;10;EV 02 22 048,1;2010;2019;10;BOULE;TOR;2029
202;Vanne rincage purge condensats cuite 1er jet n°2;Cuites de 1er jet;202;2;202;NULL;1901AR;10;EV 02 22 048,2;2010;2019;10;BOULE;TOR;2029
203;Vanne rincage purge condensats cuite 1er jet n°3;Cuites de 1er jet;203;2;203;NULL;1901AR;10;EV 02 22 048,3;2010;2019;10;BOULE;TOR;2029
204;Vanne rincage purge condensats cuite 1er jet n°4;Cuites de 1er jet;204;2;204;NULL;1901AR;10;EV 02 22 048,4;2010;2019;10;BOULE;TOR;2029
205;Vanne rincage purge condensats cuite 1er jet n°5;Cuites de 1er jet;205;2;205;NULL;1901AR;10;EV 02 22 048,5;2010;2019;10;BOULE;TOR;2029
206;Vanne rincage purge condensats cuite 1er jet n°6;Cuites de 1er jet;206;2;206;NULL;1901AR;10;EV 02 22 048,6;2010;2019;10;BOULE;TOR;2029
207;Vanne rincage purge condensats cuite 2ème jet n°1;Cuites de 2ème jet;207;2;207;NULL;1901AR;10;EV 02 22 020,0;2010;2019;10;BOULE;TOR;2029
208;Vanne rincage purge condensats cuite 2ème jet n°2;Cuites de 2ème jet;208;2;208;NULL;1901AR;10;EV 02 22 022,0;2010;2019;10;BOULE;TOR;2029
209;Vanne rincage purge condensats cuite 2ème jet n°3;Cuites de 2ème jet;209;2;209;NULL;1901AR;10;EV 02 22 048,0;2010;2019;10;BOULE;TOR;2029
210;Vanne vidange pesage egouts R1;NULL;210;2;210;NULL;2053AR;2;EV2122039,5;NULL;NULL;NULL;NULL;NULL;NULL
211;Vanne vidange pesage mélasse;Pesage mélasse;211;2;211;NULL;NULL;10;EV 14 22 0412;1994;2022;15;PAPILLON;TOR;2037
212;Vapeur coulée couronne cuite de 1er jet n°1;Cuites de 1er jet;212;2;212;NULL;NULL;21;2EV 02 22 000.3;2011;2014;100;BOULE;TOR;2114
213;Vapeur coulée couronne cuite de 1er jet n°2;Cuites de 1er jet;213;2;213;NULL;NULL;21;2EV 02 22 002.3;2011;2011;100;BOULE;TOR;2111
214;Vapeur coulée couronne cuite de 1er jet n°3;Cuites de 1er jet;214;2;214;NULL;1261AR;21;2EV 02 22 004.3;2012;2014;100;BOULE;TOR;2114
215;Vapeur coulée couronne cuite de 1er jet n°4;Cuites de 1er jet;215;2;215;NULL;1261AR;21;2EV 02 22 008.3;2012;2014;100;BOULE;TOR;2114
216;Vapeur coulée couronne cuite de 1er jet n°5;Cuites de 1er jet;216;2;216;NULL;1261AR;21;2EV 02 22 010.3;2012;2013;100;BOULE;TOR;2113
217;Vapeur coulée couronne cuite de 1er jet n°6;Cuites de 1er jet;217;2;217;NULL;NULL;21;2EV 02 22 012.4;2011;2011;100;BOULE;TOR;2111
218;Vapeur coulée couronne cuite de 2ème jet n°1;Cuites de 2ème jet;218;2;218;NULL;NULL;20;NULL;NULL;2014;20;BOULE;TOR;2034
219;Vapeur coulée couronne cuite de 2ème jet n°2;Cuites de 2ème jet;219;2;219;NULL;NULL;21;NULL;NULL;2015;10;BOULE;TOR;2025
220;Vapeur coulée couronne cuite de 2ème jet n°3;Cuites de 2ème jet;220;2;220;NULL;NULL;21;EV 01 03 0175;2011;2011;100;BOULE;TOR;2111
221;Vapeur coulée couronne cuite de 3ème jet n° 1;Cuites de 3ème jet;221;2;221;NULL;NULL;21;EV 01 03 0437;2011;2011;100;Boule;TOR;2111
222;Vapeur coulée couronne cuite de 3ème jet n° 2;Cuites de 3ème jet;222;2;222;NULL;NULL;21;EV 01 03 0453;2011;2011;100;Boule;TOR;2111
223;Vapeur cuite de 1er jet n°1;Cuites de 1er jet;223;2;223;223;NULL;2;NULL;1987;2011;15;PAPILLON;REG;2026
224;Vapeur cuite de 1er jet n°1;Cuites de 1er jet;224;2;224;224;1402AR;2;PV 02 22 0516;2014;2019;10;PAPILLON;REG;2029
225;Vapeur cuite de 1er jet n°2;cuites de 1er jet;225;2;225;225;NULL;2;PV 02 22 0524;NULL;2018;100;PAPILLON;REG;2118
226;Vapeur cuite de 1er jet n°2;Cuites de 1er jet;226;2;226;226;NULL;2;PV 02 03 0087;2012;2012;100;PAPILLON;REG;2112
227;Vapeur cuite de 1er jet n°3;Cuites de 1er jet;227;2;227;227;1222AR;2;PV 02 22 0564;2012;2019;10;PAPILLON;REG;2029
228;Vapeur cuite de 1er jet n°4;Cuites de 1er jet;228;2;228;228;1222AR;2;PV 02 22 0548;2012;2018;100;PAPILLON;REG;2118
229;Vapeur cuite de 1er jet n°5;Cuites de 1er jet;229;2;229;NULL;1222AR;2;PV 02 22 0556;2012;2018;100;PAPILLON;TOR;2118
230;Vapeur cuite de 1er jet n°6;Cuites de 1er jet;230;2;230;230;NULL;2;NULL;1987;1997;99;PAPILLON;REG;2096
231;Vapeur cuite de 1er jet n°6;Cuites de 1er jet;231;2;231;231;1222AR;2;PV 02 22 0532;2012;2013;100;PAPILLON;REG;2113
232;Vapeur cuite de 2ème jet n°1;Cuites de 2ème jet;232;2;232;232;NULL;2;A démonter;1981;1997;100;PAPILLON;REG;2097
233;Vapeur cuite de 2ème jet n°1;cuites de 2ème jet;233;2;233;233;1701AR;2;PV 02 22 0626;2017;2017;100;PAPILLON;REG;2117
234;Vapeur cuite de 2ème jet n°2;Cuites de 2ème jet;234;2;234;234;NULL;2;NULL;1981;1997;15;PAPILLON;REG;2100
235;Vapeur cuite de 2ème jet n°2;cuites de 2ème jet;235;2;235;235;1701AR;2;PV 02 22 0634;2017;2017;100;PAPILLON;REG;2117
236;Vapeur cuite de 2éme jet n°3;Cuites de 2ème jet;236;2;236;236;NULL;2;NULL;1981;2011;15;PAPILLON;REG;2026
237;Vapeur cuite de 2ème jet n°3;Cuites de 2ème jet;237;2;237;237;1403AR;2;PV 02 03 0055;2014;2020;10;PAPILLON;REG;2030
238;Vapeur cuite de 3ème jet n°1;Cuites de 3ème jet;238;2;238;238;NULL;2;A démonter;1985;1997;100;PAPILLON;REG;2097
239;Vapeur cuite de 3ème jet n°1;Cuites de 3ème jet;239;2;239;239;1701AR;2;PV 02 22 0658;2017;2017;100;PAPILLON;REG;2117
240;Vapeur cuite de 3ème jet n°2;Cuites de 3ème jet;240;2;240;240;NULL;2;NULL;1985;1997;15;PAPILLON;REG;2100
241;Vapeur cuite de 3ème jet n°2;Cuites de 3ème jet;241;2;241;241;1701AR;2;PV 02 22 0666;2017;2017;100;PAPILLON;REG;2117
242;Vide cuite de 1er jet n°1;Cuites de 1er jet;242;2;242;242;NULL;2;PV 18 03 0070;2012;2012;100;PAPILLON;REG;2112
243;Vide cuite de 1er jet n°2;Cuites de 1er jet;243;2;243;243;1402AR;2;PV 18 22 0520;2014;2014;100;PAPILLON;REG;2114
244;Vide cuite de 1er jet n°3;Cuites de 1er jet;244;2;244;244;1222AR;2;PV 18 22 0528;2013;2013;100;PAPILLON;REG;2113
245;Vide cuite de 1er jet n°4;Cuites de 1er jet;245;2;245;245;1222AR;2;PV 18 22 0544;2012;2013;100;PAPILLON;REG;2113
246;Vide cuite de 1er jet n°5;Cuites de 1er jet;246;2;246;246;NULL;2;PV 18 22 0552;2012;2013;100;PAPILLON;REG;2113
247;Vide cuite de 1er jet n°6;Cuites de 1er jet;247;2;247;247;NULL;2;NULL;1981;1997;99;PAPILLON;REG;2096
248;Vide cuite de 2ème jet n°1;Cuites de 2ème jet;248;2;248;248;NULL;2;NULL;1981;2013;15;PAPILLON;REG;2028
249;Vide cuite de 2ème jet n°1;Cuites de 2ème jet;249;2;249;249;1701AR;2;PV 18 22 0624;2017;2017;100;PAPILLON;REG;2117
250;Vide cuite de 2ème jet n°2;Cuites de 2ème jet;250;2;250;250;NULL;2;NULL;1981;2006;100;PAPILLON;REG;2106
251;Vide cuite de 2ème jet n°2;Cuites de 2ème jet;251;2;251;251;1701AR;2;PV 18 22 0632;2017;2017;100;PAPILLON;REG;2117
252;Vide cuite de 3ème jet n° 2;Cuites de 3ème jet;252;2;252;252;1701AR;2;PV 18 22 0664;2017;2017;100;PAPILLON;REG;2117
253;Vide cuite de 3ème jet n°1;Cuites de 3ème jet;253;2;253;253;990013 AR;2;A démonter;1999;2015;10;PAPILLON;REG;2025
254;Vide cuite de 3ème jet n°1;Cuites de 3ème jet;254;2;254;254;1701AR;2;PV 18 22 0656;2017;2017;100;PAPILLON;REG;2117
255;Vide général bis;Cuites de 1er jet;255;2;255;255;NULL;2;NULL;1987;2016;15;PAPILLON;REG;2031
256;Chauffage sécheur G;Sécheur G;256;3;256;256;1473 AR;18;PV 02 23 0700;2014;2015;100;OPERCULE;REG;2115
257;Extinction refroidisseur;Refroidisseur deshy;257;3;257;NULL;NULL;21;EV01070401;NULL;2022;10;BOULE;TOR;NULL
258;Mise à l'atmosphère sécheur;Sécheur 8;258;3;258;258;200165AR;2;PV 02 07 0096;2000;2015;10;PAPILLON;REG;2025
259;Mise à l'atmosphère sécheur G;Sécheur G;259;3;259;259;14273 DT;2;PV 02 23 0702;2014;2015;10;PAPILLON;REG;2025
260;Niveau bouteille 25 bars sécheur;réseau condensats deshy;260;3;260;260;1473 AR;18;LV 01 23 0718;2014;2015;10;CLAPET;REG;2025
261;Niveau bouteille 25 bars sécheur G;réseau condensats deshy;261;3;261;261;010253AR;12;LV 01 07 0094;2001;2015;15;OPERCULE;REG;2030
262;Niveau bouteille 25b sécheurs deshy;réseau condensats deshy;262;3;262;262;NULL;18;LV 01 23 0716;NULL;2015;100;CLAPET;REG;2115
263;Pression bouteille 15b chaufferie Duquesne;réseau condensats deshy;263;3;263;263;1253 AR;12;PV 02 07 0102;2001;2001;100;OPERCULE;REG;2101
264;Pression sécheur G;Sécheur G;264;3;264;264;NULL;2;PV 02 23 0704;NULL;2015;100;PAPILLON;REG;2115
265;Température entrée sécheur G;Sécheur G;265;3;265;265;1474AR;4;TV 02 23 0722;2014;2015;10;CLAPET;REG;2025
266;Vapeur entrée sécheur (pression surchauffeur);Sécheur 8;266;3;266;266;NULL;18;NULL;1990;2008;100;OPERCULE;REG;2108
267;By-pass jus de circulation vers bac de soutirage;diffusion;267;4;267;NULL;NULL;10;2 EV 06 01 A20,3;NULL;2004;99;PAPILLON;TOR;2103
268;Chasse epulpeur meichage N°1;Epulpeur meichage N°1;268;4;268;NULL;2243AR;24;EV06010200;2022;NULL;100;Pelle;TOR;2122
269;Chasse epulpeur soutirage N°1;Epulpeur soutirage N°1;269;4;269;NULL;2243AR;24;EV06010203;2022;NULL;100;Pelle;TOR;2122
270;Chasse epulpeur soutirage N°2;Epulpeur soutirage N°2;270;4;270;NULL;2243AR;24;EV06010201;2022;NULL;100;Pelle;TOR;2122
271;Chaulage eaux traitées vanne  n°2;Diffusion;271;4;271;NULL;0947AR;21;2 EV 09 01 0440;NULL;NULL;NULL;Boule;TOR;NULL
272;Chaulage eaux traitées vanne n°1;Bac eaux traitées;272;4;272;NULL;NULL;21;2 EV 09 01 0440;2000;2015;100;BOULE;TOR;2115
273;Débit eaux traitées;Bac eaux traitées;273;4;273;273;030018 AR;2;FV 01 01 0578;2003;2016;8;PAPILLON;REG;2024
274;Débour. coupe-racines n°1;Coupes racines;274;4;274;NULL;NULL;21;EV 03 01 0776;NULL;1992;100;BOULE;TOR;2092
275;Débour. coupe-racines n°2;Coupes racines;275;4;275;NULL;NULL;21;EV 03 01 0777;NULL;1992;100;BOULE;TOR;2092
276;Débour. coupe-racines n°3;Coupes racines;276;4;276;NULL;NULL;21;EV 03 01 0778;NULL;1992;100;BOULE;TOR;2092
277;Débour. coupe-racines n°4;Coupes racines;277;4;277;NULL;NULL;21;EV 03 01 0779;NULL;1992;100;BOULE;TOR;2092
