ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
65;Casse vide vapeur cuite de 2ème jet n°3;cuites de 2ème jet;65;2;65;65;10;PV 02 22 0646;2017;2017;100;PAPILLON;REG;2117;1702AR
66;PH 2ème carbonatation;Caisse 2ème carbonatation;66;6;66;66;25;AV 12 02 0019;1998;2017;100;PAPILLON;REG;2117;980175AR
67;Clairçage JAE turbine 1er jet n°1;Turbines de 1er jet;67;2;67;NULL;11;NULL;2015;2015;20;BOULE;REG;2035;15091DT
68;Clairçage JAE turbine 1er jet n°2;Turbines de 1er jet;68;2;68;NULL;11;NULL;2015;2015;20;BOULE;REG;2035;15091DT
69;Clairçage JAE turbine 1er jet n°3;Turbines de 1er jet;69;2;69;NULL;11;NULL;2015;2015;20;BOULE;REG;2035;15091DT
70;Clairçage JAE turbine 1er jet n°4;Turbines de 1er jet;70;2;70;NULL;11;NULL;2015;2015;20;BOULE;REG;2035;15091DT
71;Clairçage turbine de 1er jet n°1;Turbines de 1er jet;71;2;71;NULL;6;EV 01 12 0087;2002;2009;99;BOULE;TOR;2108;20245
72;Dilution concentrateur à liqueur standard;Concentrateur à liqueur standard;72;2;72;72;18;DV 01 02 840;NULL;2015;10;CLAPET;REG;2025;NULL
73;Dilution concentrateur de stockage;Concentrateur de stockage;73;2;73;73;18;DV 01 02 0838;NULL;2015;10;CLAPET;REG;2025;NULL
74;Dilution liqueur standard ap refondoir;Bac de refonte;74;2;74;74;25;DV 07 03 0304;2018;2018;10;OPERCULE;REG;2028;1842AR
75;Empattage turbine de 3ème jet n°1 BMA;Turbines de 3ème jet;75;2;75;75;18;NULL;2010;2018;10;OBTURATEUR;REG;2028;NULL
76;Empattage turbine de 3ème jet n°2 K3300;Turbines de 3ème jet;76;2;76;76;18;FV 07 03 1004;2010;2016;10;OBTURATEUR;REG;2026;1047 AR
77;Lavage des hublôts cuite de 1er jet n°1;Cuites de 1er jet;77;2;77;NULL;21;NULL;2014;2014;100;BOULE;TOR;2114;1416AR
78;Lavage des hublôts cuite de 1er jet n°2;Cuites de 1er jet;78;2;78;NULL;21;NULL;2014;2014;100;BOULE;TOR;2114;1416AR
79;Lavage des hublôts cuite de 1er jet n°3;Cuites de 1er jet;79;2;79;NULL;21;NULL;NULL;2013;100;BOULE;TOR;2113;NULL
80;Lavage des hublôts cuite de 1er jet n°4;Cuites de 1er jet;80;2;80;NULL;21;NULL;NULL;2013;100;BOULE;TOR;2113;NULL
81;Lavage des hublôts cuite de 1er jet n°5;Cuites de 1er jet;81;2;81;NULL;21;NULL;NULL;2013;100;BOULE;TOR;2113;NULL
82;Lavage des hublôts cuite de 1er jet n°6;Cuites de 1er jet;82;2;82;NULL;21;NULL;2014;2014;100;BOULE;TOR;2114;1416AR
83;Lavage des hublôts cuite de 2ème jet n°3;Cuites de 2ème jet;83;2;83;NULL;21;NULL;2014;2014;100;BOULE;TOR;2114;1416AR
84;Lavage eau faisceau cuite de 1er jet n°1;Cuites de 1er jet;84;2;84;NULL;21;EV 01 22 000.4;2010;NULL;20;BOULE;TOR;2030;10011AR
85;Lavage eau faisceau cuite de 1er jet n°2;Cuites de 1er jet;85;2;85;NULL;21;EV 01 22 002.4;2010;NULL;20;BOULE;TOR;2030;10011AR
86;Lavage eau faisceau cuite de 1er jet n°3;Cuites de 1er jet;86;2;86;NULL;21;EV 01 22 004.4;2012;2018;10;BOULE;TOR;2028;1261AR
87;Lavage eau faisceau cuite de 1er jet n°4;Cuites de 1er jet;87;2;87;NULL;21;EV 01 22 008.4;2012;2018;10;BOULE;TOR;2028;1261AR
88;Lavage eau faisceau cuite de 1er jet n°5;Cuites de 1er jet;88;2;88;NULL;21;EV 01 22 010.4;2012;2013;100;BOULE;TOR;2113;1261AR
89;Lavage eau faisceau cuite de 1er jet n°6;Cuites de 1er jet;89;2;89;NULL;21;EV 01 22 012.5;2010;2018;10;BOULE;TOR;2028;10011AR
90;Lavage eau faisceau cuite de 2ème jet n°1;Cuites de 2ème jet;90;2;90;NULL;21;NULL;2011;2011;100;BOULE;TOR;2111;NULL
91;Lavage eau faisceau cuite de 2ème jet n°2;Cuites de 2ème jet;91;2;91;NULL;21;NULL;2011;2011;100;Boule;TOR;2111;NULL
92;Lavage eau faisceau cuite de 2ème jet n°3;Cuites de 2ème jet;92;2;92;NULL;21;NULL;2010;2014;20;BOULE;TOR;2034;10011AR
93;Lavage eau faisceau cuite de 3ème jet n° 1;Cuites de 3ème jet;93;2;93;NULL;21;EV 01 03 0439;2011;2011;100;Boule;TOR;2111;NULL
94;Lavage eau faisceau cuite de 3ème jet n°2;Cuites de 3ème jet;94;2;94;NULL;21;EV 01 03 0455;2011;2011;100;Boule;TOR;2111;NULL
95;Lavage jupe turbine 1 n°1;Turbine 1 er jet n°1;95;2;95;NULL;21;EV11120091;2009;2009;100;Boule;TOR;2109;0947AR
96;Lavage jupe turbine 1 n°2;Turbine 1 er jet n°2;96;2;96;NULL;21;EV11120267;2009;2009;100;Boule;TOR;2109;0947AR
97;Lavage jupe turbine 1 n°3;Turbine 1 er jet n°3;97;2;97;NULL;21;EV11120363;2009;2009;100;Boule;TOR;2109;0947AR
98;Lavage jupe turbine 1 n°4;Turbine 1 er jet n°4;98;2;98;NULL;21;EV11120475;2009;2009;100;Boule;TOR;2109;0947AR
99;Niveau bac à liqueur standard n° 1 (sortie CLS);Bac à liqueur standard n° 1;99;2;99;99;18;LV 07 02 0085;NULL;2003;21;OPERCULE;REG;2024;NULL
100;Niveau ballon;Ballon condensats cuites 2ème et 3ème jet;100;2;100;NULL;18;LV 01 03 0917;NULL;2000;100;CLAPET;REG;2100;NULL
101;Niveau ballon condensats cuites 2ème et 3ème jet;Condensats cuites;101;2;101;101;18;LV 01 03 0917;1994;2000;100;CLAPET;REG;2100;NULL
102;Niveau bouteille condensats 1er jet n°1 (cuites 1.2.3);Cuites de 1er jet;102;2;102;102;18;LV 01 22 0568;2012;2013;100;OPERCULE;REG;2113;1260AR
103;Niveau bouteille condensats 1er jet n°2 (cuites 4.5.6);Cuites de 1er jet;103;2;103;103;18;LV 01 22 0570;2012;2013;100;OPERCULE;REG;2113;1260AR
104;Petit vide cuite de 1er jet n°1;Cuites de 1er jet;104;2;104;104;2;PV 18 03 0838;NULL;2010;15;PAPILLON;REG;2025;NULL
105;Petit vide cuite de 1er jet n°2;Cuites de 1er jet;105;2;105;105;2;PV 18 22 0522;2012;2013;100;PAPILLON;REG;2113;1259 AR
106;Petit vide cuite de 1er jet n°3;Cuites de 1er jet;106;2;106;106;2;PV 18 22 0530;2012;2013;100;PAPILLON;REG;2113;1259 AR
107;Petit vide cuite de 1er jet n°4;Cuites de 1er jet;107;2;107;107;2;PV 18 22 0546;2012;2013;100;PAPILLON;REG;2113;1259 AR
108;Petit vide cuite de 1er jet n°5;Cuites de 1er jet;108;2;108;108;2;PV 18 22 0554;2012;2013;100;PAPILLON;REG;2113;1259 AR
109;Petit vide cuite de 1er jet n°6;Cuites de 1er jet;109;2;109;109;2;PV 18 03 0840;1997;2010;15;PAPILLON;REG;2025;NULL
110;Petit vide cuite de 2ème jet n°1;Cuites de 2ème jet;110;2;110;110;10;NULL;2007;2013;15;PAPILLON;TOR;2028;0721 AR
111;Petit vide cuite de 2ème jet n°2;Cuites de 2ème jet;111;2;111;111;10;NULL;2007;2013;15;PAPILLON;TOR;2028;0721 AR
112;Petit vide cuite de 2ème jet n°3;cuites de 2ème jet;112;2;112;NULL;2; ;2003;2009;100;PAPILLON;TOR;2109;030030 AR
113;Pression ballon vapeur 3 kg cuites;Cuites;113;2;113;113;18; ;1990;2012;12;CLAPET;REG;2024;NULL
114;Pression collecteur casse vide vapeur;Cuites de 1er jet;114;2;114;114;25;PV 02 22 0650;2018;2018;15;PAPILLON;REG;2033;1807AR
115;Purge condensats cuite  de 1er jet n°6;Cuites de 1er jet;115;2;115;NULL;2;EV 01 22 046,5;2018;NULL;100;PAPILLON;TOR;2118;1809AR
116;Purge condensats cuite de 1er jet n° 1;Cuites de 1er jet;116;2;116;NULL;2;EV 01 22 001,6;2018;NULL;100;PAPILLON;TOR;2118;1809AR
117;Purge condensats cuite de 1er jet n° 2;Cuites de 1er jet;117;2;117;NULL;2;EV 01 22 007,3;2018;NULL;100;PAPILLON;TOR;2118;1809AR
118;Purge condensats cuite de 1er jet n° 4;Cuites de 1er jet;118;2;118;NULL;2;EV 01 22 009,6;2018;NULL;100;PAPILLON;TOR;2118;1809AR
119;Purge condensats cuite de 1er jet n° 5;Cuites de 1er jet;119;2;119;NULL;2;EV 01 22 046,4;2018;NULL;100;PAPILLON;TOR;2118;1809AR
120;Purge condensats cuite de 1er jet n°3;Cuites de 1er jet;120;2;120;NULL;2;EV 01 22 005,7;2018;NULL;100;PAPILLON;TOR;2118;1809AR
121;Purge condensats cuite de 2ème jet n°1;Cuites de 2ème jet;121;2;121;NULL;2;EV 01 22 021,7;2018;NULL;100;PAPILLON;TOR;2118;1809AR
122;Purge condensats cuite de 2ème jet n°2;Cuites de 2ème jet;122;2;122;NULL;2;EV 01 22 023,7;2018;NULL;100;PAPILLON;TOR;2118;1809AR
123;Purge condensats cuite de 2ème jet n°3;Cuites de 2ème jet;123;2;123;NULL;2;EV 01 22 025,7;2018;NULL;100;PAPILLON;TOR;2118;1809AR
124;Purge condensats cuite de 3ème jet n°1;Cuites de 3ème jet;124;2;124;NULL;2;EV 01 22 027,7;2018;NULL;100;PAPILLON;TOR;2118;1809AR
125;Purge condensats cuite de 3ème jet n°2;Cuites de 3ème jet;125;2;125;NULL;2;EV 01 22 029,7;2018;NULL;100;PAPILLON;TOR;2118;1809AR
126;Purge vide 1er jet n°2;Cuites de 1er jet;126;2;126;NULL;21;NULL;NULL;2010;99;BOULE;TOR;2109;NULL
127;Purge vide cuite de 1er jet n°1;Cuites de 1er jet;127;2;127;NULL;21;2EV 02 22 000,3;2012;NULL;15;BOULE;TOR;2027;4500240490
128;Purge vide cuite de 1er jet n°2;Cuites de 1er jet;128;2;128;NULL;21;2EV 02 22 002,3;2012;NULL;15;BOULE;TOR;2027;4500240490
129;Purge vide cuite de 1er jet n°3;Cuites de 1er jet;129;2;129;NULL;21;2EV 02 22 004,3;2012;NULL;15;BOULE;TOR;2027;4500240490
130;Purge vide cuite de 1er jet n°4;Cuites de 1er jet;130;2;130;NULL;21;2EV 02 22 008,3;2012;NULL;15;BOULE;TOR;2027;4500239173
131;Purge vide cuite de 1er jet n°5;Cuites de 1er jet;131;2;131;NULL;21;2EV 02 22 010,3;2012;NULL;15;BOULE;TOR;2027;4500239173
132;Purge vide cuite de 1er jet n°6;Cuites de 1er jet;132;2;132;NULL;21;2EV 02 22 012,4;2012;NULL;15;BOULE;TOR;2027;4500239173
133;Purge vide cuite de 2ème jet n°1;Cuites de 2ème jet;133;2;133;NULL;10;2EV0222 020.3;2017;2017;10;BOULE;TOR;2027;1722AR
134;Purge vide cuite de 2ème jet n°2;Cuites de 2ème jet;134;2;134;NULL;10;2EV0222 022.3;2017;2017;10;BOULE;TOR;2027;1722AR
135;Purge vide cuite de 2ème jet n°3;Cuites de 2ème jet;135;2;135;NULL;21;2EV 02 22 024.3;2014;2014;100;BOULE;TOR;2114;1416AR
136;Purge vide cuite de 3ème jet n°1;Cuites de 3ème jet;136;2;136;NULL;10;2EV0222 026.3;2017;2017;10;BOULE;TOR;2027;1722AR
137;Purge vide cuite de 3ème jet n°2;Cuites de 3ème jet;137;2;137;NULL;10;2EV0222 023.3;2017;2017;10;BOULE;TOR;2027;1722AR
138;Refroidissement malaxeurs verticaux;Malaxeurs verticaux;138;2;138;138;25;TV 01 03 0509;2010;NULL;100;PAPILLON;REG;2110;1840AR
139;Régulation sirop cuite de 1er jet n°1 (Sursat);Cuites de 1er jet;139;2;139;139;18;DV 07 22 0518;2012;2013;100;OPERCULE;REG;2113;1260 AR
140;Régulation sirop cuite de 1er jet n°2 (sursat);Cuites de 1er jet;140;2;140;140;18;DV 07 22 0526;2012;2013;100;OPERCULE;REG;2113;1260 AR
141;Régulation sirop cuite de 1er jet n°3 (Sursat);Cuites de 1er jet;141;2;141;141;18;DV 07 22 0534;2012;2013;100;OPERCULE;REG;2113;1260 AR
142;Régulation sirop cuite de 1er jet n°4 (Sursat);Cuites de 1er jet;142;2;142;142;18;DV 07 22 0550;2012;2013;100;OPERCULE;REG;2113;1260 AR
143;Régulation sirop cuite de 1er jet n°5 (Sursat);Cuites de 1er jet;143;2;143;143;18;DV 07 22 0558;2012;2013;100;OPERCULE;REG;2113;1260 AR
144;Régulation sirop cuite de 1er jet n°6 (Sursat);Cuites de 1er jet;144;2;144;144;18;DV 07 22 0566;2012;2013;100;OPERCULE;REG;2113;1260 AR
145;Régulation sirop cuite de 2ème jet n°1 (sursat);Cuites de 1er jet;145;2;145;145;18;DV 07 22 0628;NULL;2017;20;OPERCULE;REG;2037;NULL
146;Régulation sirop cuite de 2ème jet n°2 (sursat);Cuites de 2ème jet;146;2;146;146;18;DV 07 22 0636;NULL;2017;10;OPERCULE;REG;2027;NULL
147;Régulation vide 1er jet;Cuites de 1er jet;147;2;147;147;2;PV 18 22 0536;2012;2013;100;PAPILLON;REG;2113;1256AR
148;Rinçage niveau malaxeur affinage; ;148;2;148;NULL;21;NULL;2014;2014;100;BOULE;TOR;2114;1416AR
149;Rinçage niveau malaxeur de 3ème jet;Malaxeurs de 3ème;149;2;149;NULL;21;NULL;1994;2012;15;BOULE;NULL;2027;NULL
150;Sursaturation cuite de 1er jet n°6;Cuites de 1er jet;150;2;150;150;22;DV 07 03 0101;NULL;1997;99;OPERCULE;REG;2096;NULL
151;Sursaturation cuite de 2ème jet n°1;Cuites de 2ème jet;151;2;151;151;22;DV 07 03 0285 à démonter;NULL;1997;100;OPERCULE;REG;2097;NULL
152;Sursaturation cuite de 2ème jet n°2;Cuites de 2ème jet;152;2;152;152;22;DV 07 03 0301 à démonter;NULL;1997;100;OPERCULE;REG;2097;NULL
153;Sursaturation cuite de 2ème jet n°3;Cuites de 2ème jet;153;2;153;153;18;DV 07 03 0053;2014;2014;100;PAPILLON;REG;2114;1417 AR
154;Sursaturation cuite de 3ème jet n°1;Cuites de 3ème jet;154;2;154;154;18;DV 07 03 0317;NULL;1997;15;OPERCULE;REG;2100;NULL
155;Sursaturation cuite de 3ème jet n°2;Cuites de 3ème jet;155;2;155;155;18;DV 07 03 0333;NULL;2021;10;OBTURATEUR;REG;2031;NULL
156;Température malaxeur vertical n° 1;Malaxeur vertical n° 1;156;2;156;156;18;TV 01 03 0525;1994;2018;12;OPERCULE;REG;2030;940251 AR
157;Température malaxeur vertical n° 2;Malaxeur vertical n° 2;157;2;157;157;18;TV 01 03 0526;1994;2018;12;OPERCULE;REG;2030;940251 AR
158;Température malaxeur vertical n° 3;Malaxeur vertical n° 3;158;2;158;158;18;TV 01 03 0527;1994;2009;100;OPERCULE;REG;2109;940251 AR
159;Transport 2ème jet BMA K 3300 n° 1;Turbines de 2ème jet;159;2;159;159;3;NULL;2012;2012;100;CLAPET;REG;2112;NULL
160;Transport 2ème jet BMA K 3300 n° 2;Turbines de 2ème jet;160;2;160;160;3;NULL;2012;2012;100;CLAPET;REG;2112;NULL
161;Turbine 1er jet  n°1 vanne égouts pauvres (P1);Turbines de 1er jet;161;2;161;NULL;Five Cail;NULL;2013;2019;10;PAPILLON;TOR;2029;NULL
162;Turbine 1er jet  n°2 vanne égouts pauvres (P1);Turbines de 1er jet;162;2;162;NULL;Five Cail;NULL;2013;2019;10;PAPILLON;TOR;2029;NULL
163;Turbine 1er jet  n°3 vanne égouts pauvres (P1);Turbines de 1er jet;163;2;163;NULL;Five Cail;NULL;2013;2019;10;PAPILLON;TOR;2029;NULL
164;Turbine 1er jet  n°4 vanne égouts pauvres (P1);Turbines de 1er jet;164;2;164;NULL;Five Cail;NULL;2013;2019;10;PAPILLON;TOR;2029;NULL
165;Turbine 2e jet 1 - B5 tuyau transport;TURBINE 2E JET 1;165;2;165;NULL;10;EV22T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
166;Turbine 2e jet 1 - Clairçage global;TURBINE 2E JET 1;166;2;166;NULL;10;EV26T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
167;Turbine 2e jet 1 - Dégazage filtres;TURBINE 2E JET 1;167;2;167;NULL;10;EV25T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
168;Turbine 2e jet 1 - Entrée nettoyage eau/ JAE;TURBINE 2E JET 1;168;2;168;NULL;10;EV20T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
169;Turbine 2e jet 1 - Entrée nettoyage vapeur;TURBINE 2E JET 1;169;2;169;NULL;10;EV11T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
170;Turbine 2e jet 1 - Nettoyage tuyaux alimentation;TURBINE 2E JET 1;170;2;170;NULL;10;EV10T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
171;Turbine 2e jet 1 - Purge filtres transport;TURBINE 2E JET 1;171;2;171;NULL;10;EV24T21;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
172;Turbine 2e jet 1 - Régulation transport;TURBINE 2E JET 1;172;2;172;NULL;17;EV23T21;2023;2023;99;Papillon;NULL;2123;2307AR
173;Turbine 2e jet 1 - Vanne  entrée  filtre  transport;TURBINE 2E JET 1;173;2;173;NULL;10;EV21T21;01/04/2023;2023;99;BOULE;REG;2123;2307AR
174;Turbine 2e jet 2 - B5 tuyau transport;TURBINE 2E JET 2;174;2;174;NULL;10;EV22T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
175;Turbine 2e jet 2 - Clairçage global;TURBINE 2E JET 2;175;2;175;NULL;10;EV26T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
176;Turbine 2e jet 2 - Dégazage filtres;TURBINE 2E JET 2;176;2;176;NULL;10;EV25T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
177;Turbine 2e jet 2 - Entrée nettoyage eau/ JAE;TURBINE 2E JET 2;177;2;177;NULL;10;EV20T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
178;Turbine 2e jet 2 - Entrée nettoyage vapeur;TURBINE 2E JET 2;178;2;178;NULL;10;EV11T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
179;Turbine 2e jet 2 - Nettoyage tuyaux alimentation;TURBINE 2E JET 2;179;2;179;NULL;10;EV10T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
180;Turbine 2e jet 2 - Purge filtres transport;TURBINE 2E JET 2;180;2;180;NULL;10;EV24T22;01/04/2023;2023;99;BOULE;TOR;2123;2307AR
181;Turbine 2e jet 2 - Régulation transport;TURBINE 2E JET 2;181;2;181;NULL;17;EV23T22;2023;2023;99;Papillon;NULL;2123;2307AR
182;Turbine 2e jet 2 - Vanne  entrée  filtre  transport;TURBINE 2E JET 2;182;2;182;NULL;10;EV21T22;01/04/2023;2023;99;BOULE;REG;2123;2307AR
183;Turbine de 1er jet n° 1 égouts pauvres;Turbines de 1er jet;183;2;183;NULL;2;2 EV 21 12 0088;2006;NULL;99;PAPILLON;TOR;2105;0609AR
184;Turbine de 1er jet n° 2 égouts pauvres;Turbines de 1er jet;184;2;184;184;2;2 EV 21 00 0000;2006;NULL;99;PAPILLON;TOR;2105;0609AR
185;Turbine de 1er jet n° 3 égouts pauvres;Turbines de 1er jet;185;2;185;185;2;2 EV 21 00 0000;2006;NULL;99;PAPILLON;TOR;2105;0609AR
186;Turbine de 1er jet n° 4 égouts pauvres;Turbines de 1er jet;186;2;186;186;2;2 EV 21 00 0000;2006;NULL;99;PAPILLON;TOR;2105;0609AR
187;Turbine de 1er jet n°1 vanne égouts riches (R1);Turbines de 1er jet;187;2;187;NULL;Five Cail;NULL;NULL;2019;10;PAPILLON;TOR;2029;NULL
188;Turbine de 1er jet n°2 vanne égouts riches (R1);Turbines de 1er get;188;2;188;NULL;Five Cail;NULL;NULL;2019;10;PAPILLON;TOR;2029;NULL
189;Turbine de 1er jet n°3 vanne égouts riches (R1);Turbines de 1er jet;189;2;189;NULL;Five Cail;NULL;2013;2019;10;PAPILLON;TOR;2029;NULL
190;Turbine de 1er jet n°4 vanne égouts riches (R1);Turbines de 1er jet;190;2;190;NULL;Five Cail;NULL;2013;2019;10;PAPILLON;TOR;2029;NULL
191;Vanne by-pass MC2 pompe n°1;Malaxeur de coulée cuites de 2ème jet;191;2;191;NULL;2;EV 11 22 047.5;2017;2017;100;PAPILLON;TOR;2117;1701AR
192;VANNE CASSE VIDE ATMOSPHERIQUE 3N1;NULL;192;2;192;NULL;10;EVCASVIDATMO3_1;03/11/2022;2023;99;NULL;TOR;2122;2242AR
193;VANNE CASSE VIDE ATMOSPHERIQUE 3N2;NULL;193;2;193;NULL;10;EVCASVIDATMO3_2;03/11/2022;2023;99;NULL;TOR;2122;2242AR
194;VANNE CASSE VIDE VAPEUR 3N1;NULL;194;2;194;NULL;10;EVCASVIDVAP3_1;03/11/2022;2023;99;NULL;TOR;2122;2242AR
195;VANNE CASSE VIDE VAPEUR 3N2;NULL;195;2;195;NULL;10;EVCASVIDVAP3_2;03/11/2022;2023;99;NULL;TOR;2122;2242AR
196;VANNE PETIT VIDE 3N1;NULL;196;2;196;NULL;10;EVPETITVIDE3_1;03/11/2022;2023;99;NULL;TOR;2122;2242AR
197;VANNE PETIT VIDE 3N2;NULL;197;2;197;NULL;10;EVPETITVIDE3_2;03/11/2022;2023;99;NULL;TOR;2122;2242AR
198;Vanne pression barriquand JUS DIF.;Barriquand jus diffusion;198;2;198;198;10;PV02220540;2012;2012;100;PAPILLON;REG;2112;1262AR
199;Vanne remplissage pesage egouts R1;NULL;199;2;199;NULL;2;EV2122039,4;NULL;NULL;NULL;NULL;NULL;NULL;2053AR
200;Vanne remplissage pesage mélasse;Pesage mélasse;200;2;200;NULL;10;EV 14 22 0411;2012;2018;10;PAPILLON;TOR;2028;1262AR
201;Vanne rincage purge condensats cuite 1er jet n°1;Cuites de 1er jet;201;2;201;NULL;10;EV 02 22 048,1;2010;2019;10;BOULE;TOR;2029;1901AR
202;Vanne rincage purge condensats cuite 1er jet n°2;Cuites de 1er jet;202;2;202;NULL;10;EV 02 22 048,2;2010;2019;10;BOULE;TOR;2029;1901AR
203;Vanne rincage purge condensats cuite 1er jet n°3;Cuites de 1er jet;203;2;203;NULL;10;EV 02 22 048,3;2010;2019;10;BOULE;TOR;2029;1901AR
204;Vanne rincage purge condensats cuite 1er jet n°4;Cuites de 1er jet;204;2;204;NULL;10;EV 02 22 048,4;2010;2019;10;BOULE;TOR;2029;1901AR
205;Vanne rincage purge condensats cuite 1er jet n°5;Cuites de 1er jet;205;2;205;NULL;10;EV 02 22 048,5;2010;2019;10;BOULE;TOR;2029;1901AR
206;Vanne rincage purge condensats cuite 1er jet n°6;Cuites de 1er jet;206;2;206;NULL;10;EV 02 22 048,6;2010;2019;10;BOULE;TOR;2029;1901AR
207;Vanne rincage purge condensats cuite 2ème jet n°1;Cuites de 2ème jet;207;2;207;NULL;10;EV 02 22 020,0;2010;2019;10;BOULE;TOR;2029;1901AR
208;Vanne rincage purge condensats cuite 2ème jet n°2;Cuites de 2ème jet;208;2;208;NULL;10;EV 02 22 022,0;2010;2019;10;BOULE;TOR;2029;1901AR
209;Vanne rincage purge condensats cuite 2ème jet n°3;Cuites de 2ème jet;209;2;209;NULL;10;EV 02 22 048,0;2010;2019;10;BOULE;TOR;2029;1901AR
210;Vanne vidange pesage egouts R1;NULL;210;2;210;NULL;2;EV2122039,5;NULL;NULL;NULL;NULL;NULL;NULL;2053AR
211;Vanne vidange pesage mélasse;Pesage mélasse;211;2;211;NULL;10;EV 14 22 0412;1994;2022;15;PAPILLON;TOR;2037;NULL
212;Vapeur coulée couronne cuite de 1er jet n°1;Cuites de 1er jet;212;2;212;NULL;21;2EV 02 22 000.3;2011;2014;100;BOULE;TOR;2114;NULL
213;Vapeur coulée couronne cuite de 1er jet n°2;Cuites de 1er jet;213;2;213;NULL;21;2EV 02 22 002.3;2011;2011;100;BOULE;TOR;2111;NULL
214;Vapeur coulée couronne cuite de 1er jet n°3;Cuites de 1er jet;214;2;214;NULL;21;2EV 02 22 004.3;2012;2014;100;BOULE;TOR;2114;1261AR
215;Vapeur coulée couronne cuite de 1er jet n°4;Cuites de 1er jet;215;2;215;NULL;21;2EV 02 22 008.3;2012;2014;100;BOULE;TOR;2114;1261AR
216;Vapeur coulée couronne cuite de 1er jet n°5;Cuites de 1er jet;216;2;216;NULL;21;2EV 02 22 010.3;2012;2013;100;BOULE;TOR;2113;1261AR
217;Vapeur coulée couronne cuite de 1er jet n°6;Cuites de 1er jet;217;2;217;NULL;21;2EV 02 22 012.4;2011;2011;100;BOULE;TOR;2111;NULL
218;Vapeur coulée couronne cuite de 2ème jet n°1;Cuites de 2ème jet;218;2;218;NULL;20;NULL;NULL;2014;20;BOULE;TOR;2034;NULL
219;Vapeur coulée couronne cuite de 2ème jet n°2;Cuites de 2ème jet;219;2;219;NULL;21;NULL;NULL;2015;10;BOULE;TOR;2025;NULL
220;Vapeur coulée couronne cuite de 2ème jet n°3;Cuites de 2ème jet;220;2;220;NULL;21;EV 01 03 0175;2011;2011;100;BOULE;TOR;2111;NULL
221;Vapeur coulée couronne cuite de 3ème jet n° 1;Cuites de 3ème jet;221;2;221;NULL;21;EV 01 03 0437;2011;2011;100;Boule;TOR;2111;NULL
222;Vapeur coulée couronne cuite de 3ème jet n° 2;Cuites de 3ème jet;222;2;222;NULL;21;EV 01 03 0453;2011;2011;100;Boule;TOR;2111;NULL
223;Vapeur cuite de 1er jet n°1;Cuites de 1er jet;223;2;223;223;2;NULL;1987;2011;15;PAPILLON;REG;2026;NULL
224;Vapeur cuite de 1er jet n°1;Cuites de 1er jet;224;2;224;224;2;PV 02 22 0516;2014;2019;10;PAPILLON;REG;2029;1402AR
225;Vapeur cuite de 1er jet n°2;cuites de 1er jet;225;2;225;225;2;PV 02 22 0524;NULL;2018;100;PAPILLON;REG;2118;NULL
226;Vapeur cuite de 1er jet n°2;Cuites de 1er jet;226;2;226;226;2;PV 02 03 0087;2012;2012;100;PAPILLON;REG;2112;NULL
227;Vapeur cuite de 1er jet n°3;Cuites de 1er jet;227;2;227;227;2;PV 02 22 0564;2012;2019;10;PAPILLON;REG;2029;1222AR
228;Vapeur cuite de 1er jet n°4;Cuites de 1er jet;228;2;228;228;2;PV 02 22 0548;2012;2018;100;PAPILLON;REG;2118;1222AR
229;Vapeur cuite de 1er jet n°5;Cuites de 1er jet;229;2;229;NULL;2;PV 02 22 0556;2012;2018;100;PAPILLON;TOR;2118;1222AR
230;Vapeur cuite de 1er jet n°6;Cuites de 1er jet;230;2;230;230;2;NULL;1987;1997;99;PAPILLON;REG;2096;NULL
231;Vapeur cuite de 1er jet n°6;Cuites de 1er jet;231;2;231;231;2;PV 02 22 0532;2012;2013;100;PAPILLON;REG;2113;1222AR
232;Vapeur cuite de 2ème jet n°1;Cuites de 2ème jet;232;2;232;232;2;A démonter;1981;1997;100;PAPILLON;REG;2097;NULL
233;Vapeur cuite de 2ème jet n°1;cuites de 2ème jet;233;2;233;233;2;PV 02 22 0626;2017;2017;100;PAPILLON;REG;2117;1701AR
234;Vapeur cuite de 2ème jet n°2;Cuites de 2ème jet;234;2;234;234;2;NULL;1981;1997;15;PAPILLON;REG;2100;NULL
235;Vapeur cuite de 2ème jet n°2;cuites de 2ème jet;235;2;235;235;2;PV 02 22 0634;2017;2017;100;PAPILLON;REG;2117;1701AR
