ID VANNE;AFFECTATION;MACHINE;NUM ACTIONNNEUR;ATELIER;NUM CORPS;NUM POSITIONNEUR;FOURNISSEUR  VANNE;Repère;DATE ACHAT;VUE EN;FREQ. REVISION;ORGANE  REGLANT;typeVannes;A VOIR EN;N° COMMANDE
675;Niveau jus filtre à disques n° 2;Filtre à disques n°2;675;12;675;675;18;LV 06 13 0462;2002;2018;10;OPERCULE;REG;2028;020397 AR
676;Niveau jus filtre à disques n°3;Filtre à disques n°3;676;12;676;676;18;LV  06 13 0478;2002;2018;10;OPERCULE;REG;2028;020397 AR
677;Pression Barriquand Eaux de Presses;Echangeur Barriquand;677;12;677;677;25;FV 02 01 0562;NULL;2005;100;PAPILLON;REG;2105;NULL
678;Pression réseau 25 bars (détente réseau) secours;Réseau vapeur 25 bars;678;12;678;678;4;PV 8006 (rep Babcok);1996;2018;100;CLAPET;REG;2118;NULL
679;Rechange ballon 3 kg cuites;Ballon 3 kg cuites;679;12;679;679;18;64-9270-01-01;1995;2013;100;clapet;REG;2113;950760 AR
680;Rechange refroidissement malaxeurs verticaux;Malaxeurs verticaux;680;12;680;680;18;66-6939-01.1;1999;2006;100;OPERCULE;REG;2106;990015 AR
681;Secours niveau bac expédition;Chaulerie;681;12;681;681;25;NULL;NULL;2003;100;BOULE;REG;2103;NULL
682;Secours pression distillateur;Distillateur;682;12;682;682;4;NULL;2017;2018;100;CAGE;REG;2118;1711AR
683;Section gaz ch °1 ou  n°2;NULL;683;12;683;NULL;SAPAG ;03/10474;NULL;NULL;NULL;BOULE;TOR;NULL;0505AR
684;Vanne entre bâche 2;Baches à eau Babcock;684;12;684;NULL;10;CVEB2;1995;2020;20;PAPILLON;TOR;2040;950736 AR
685;NULL;ANC Niveau ballon condensats;685;12;685;685;18;62.873403-01;NULL;2000;100;OPERCULE;REG;2100;NULL
686;NULL;NULL;686;13;686;NULL;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
687;NULL;NULL;687;13;687;NULL;24;NULL;2020;NULL;NULL;Pelle;TOR;NULL;2010 AR
688;NULL;NULL;688;13;688;NULL;10;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
689;NULL;NULL;689;13;689;NULL;10;NULL;NULL;NULL;NULL;PAPILLON;TOR;NULL;NULL
690;NULL;NULL;690;13;690;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
691;NULL;NULL;691;13;691;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
692;NULL;NULL;692;13;692;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
693;NULL;NULL;693;13;693;NULL;18;NULL;NULL;NULL;NULL;BOULE;TOR;NULL;NULL
